strategy,regime,trades,win_rate,avg_return,total_pnl
v4,HIGH_VOL,12,0.5833,0.090018,74077.19
v4,TREND_DOWN,2,1.0,0.1798,18671.63
v4,TREND_UP,37,0.5676,0.064649,131001.92
e5,CHOP,13,0.3846,0.036584,46621.16
e5,HIGH_VOL,31,0.6129,0.043483,99653.09
e5,TREND_DOWN,26,0.5385,0.024367,16237.27
e5,TREND_UP,92,0.3696,0.016461,77809.34
