window,test_start,test_end,v4_score,v4_sharpe,v4_trades,e5_score,e5_sharpe,e5_trades,delta_v4_minus_e5,valid_window,low_power_window,winner
0,2022-01-01,2022-06-30,4.6522,0.0649,1,-7.0918,0.0949,5,11.744,True,True,V4
1,2022-07-01,2022-12-31,0.0,nan,0,-111.342,-1.5564,14,,False,False,INVALID
2,2023-01-01,2023-06-30,275.5636,2.2477,7,64.4978,0.8911,17,211.0658,True,False,V4
3,2023-07-01,2023-12-31,142.8424,1.7703,6,259.887,2.4685,14,-117.0446,True,False,E5
4,2024-01-01,2024-06-30,370.4216,2.7327,7,139.3941,1.3882,16,231.0275,True,False,V4
5,2024-07-01,2024-12-31,295.5974,2.8003,4,341.9566,2.4902,15,-46.3592,True,True,E5
6,2025-01-01,2025-06-30,85.7584,1.2668,3,55.0344,0.8418,13,30.724,True,True,V4
7,2025-07-01,2025-12-31,23.2299,0.5873,2,-4.1915,0.1005,9,27.4214,True,True,V4
