window,test_start,test_end,strategy_score,strategy_sharpe,strategy_trades,strategy_cagr,strategy_mdd,delta_vs_e5,valid_window,low_power_window
0,2022-01-01,2022-06-30,4.6522,0.0649,1,0.03,10.07,11.744,True,True
1,2022-07-01,2022-12-31,0.0,nan,0,0.0,0.0,,False,False
2,2023-01-01,2023-06-30,275.5636,2.2477,7,103.02,15.01,211.0658,True,False
3,2023-07-01,2023-12-31,142.8424,1.7703,6,49.08,7.7,-117.0446,True,False
4,2024-01-01,2024-06-30,370.4216,2.7327,7,138.06,12.15,231.0275,True,False
5,2024-07-01,2024-12-31,295.5974,2.8003,4,106.93,7.55,-46.3592,True,True
6,2025-01-01,2025-06-30,85.7584,1.2668,3,28.52,9.96,30.724,True,True
7,2025-07-01,2025-12-31,23.2299,0.5873,2,6.41,8.04,27.4214,True,True
