macro_q,entry_q,hold_q,sharpe,cagr_pct,trades,max_drawdown_mid_pct
0.45,0.55,0.45,1.5047,53.5,66,36.21
0.45,0.55,0.5,1.6718,60.18,75,32.88
0.45,0.55,0.55,1.514,50.88,99,30.46
0.45,0.6,0.45,1.5426,54.73,54,35.88
0.45,0.6,0.5,1.6653,59.21,60,34.76
0.45,0.6,0.55,1.5046,50.02,73,30.43
0.45,0.65,0.45,1.4331,48.72,50,36.97
0.45,0.65,0.5,1.538,52.27,55,35.87
0.45,0.65,0.55,1.3333,41.94,63,31.61
0.5,0.55,0.45,1.6719,60.0,56,26.22
0.5,0.55,0.5,1.8615,67.68,65,23.51
0.5,0.55,0.55,1.689,57.13,82,26.98
0.5,0.6,0.45,1.7208,61.68,45,25.28
0.5,0.6,0.5,1.865,67.07,51,23.87
0.5,0.6,0.55,1.6748,55.97,61,28.42
0.5,0.65,0.45,1.6602,57.82,41,25.98
0.5,0.65,0.5,1.7874,62.27,46,25.16
0.5,0.65,0.55,1.5311,48.99,53,30.58
0.55,0.55,0.45,1.4349,45.92,50,26.22
0.55,0.55,0.5,1.6178,52.37,59,23.51
0.55,0.55,0.55,1.5034,45.93,72,26.98
0.55,0.6,0.45,1.4473,45.89,42,25.28
0.55,0.6,0.5,1.5914,50.63,48,23.87
0.55,0.6,0.55,1.4726,44.29,56,28.42
0.55,0.65,0.45,1.3883,42.74,38,25.98
0.55,0.65,0.5,1.5146,46.65,43,25.16
0.55,0.65,0.55,1.3296,38.23,48,27.13
