strategy,cost_rt_bps,sharpe,cagr_pct,max_drawdown_mid_pct,trades,objective_score
v4,10,1.8928,68.47,23.64,51,187.1334
v4,15,1.8789,67.77,23.75,51,185.2062
v4,20,1.865,67.07,23.87,51,183.273
v4,25,1.851,66.38,23.98,51,181.37
v4,30,1.8371,65.69,24.09,51,179.4678
v4,50,1.7812,62.96,24.65,51,171.8596
v4,100,1.6404,56.33,26.15,51,153.2582
e5,10,1.679,73.46,33.7,162,186.8435
e5,15,1.6432,71.19,34.43,162,180.1936
e5,20,1.6073,68.95,35.41,162,173.4794
e5,25,1.5714,66.73,36.37,162,166.8367
e5,30,1.5355,64.55,37.32,162,160.31
e5,50,1.3917,56.09,40.97,162,135.0286
e5,100,1.0318,36.8,50.17,162,76.9424
