strategy,period,return_pct,max_dd_pct,sharpe,start_nav,end_nav
v4,2020-01,7.77,1.69,4.15,10000.0,10776.73
v4,2020-02,-2.18,7.34,-0.74,10813.28,10577.98
v4,2020-03,0.0,0.0,0.0,10577.98,10577.98
v4,2020-04,0.0,0.0,0.0,10577.98,10577.98
v4,2020-05,0.0,0.0,0.0,10577.98,10577.98
v4,2020-06,-6.41,6.41,-3.61,10577.98,9899.41
v4,2020-07,10.49,1.12,4.57,9899.41,10938.03
v4,2020-08,0.25,6.18,0.09,11387.41,11416.38
v4,2020-09,0.0,0.0,0.0,11416.38,11416.38
v4,2020-10,13.09,2.71,5.84,11416.38,12911.02
v4,2020-11,43.12,10.55,6.43,12883.4,18439.11
v4,2020-12,39.91,4.63,8.5,17567.6,24578.78
v4,2021-01,23.01,16.09,3.26,24925.54,30661.66
v4,2021-02,35.23,13.95,4.5,30661.66,41464.12
v4,2021-03,-5.72,11.7,-1.54,41464.12,39091.06
v4,2021-04,6.96,3.49,2.86,39091.06,41810.65
v4,2021-05,0.0,0.0,0.0,41810.65,41810.65
v4,2021-06,0.0,0.0,0.0,41810.65,41810.65
v4,2021-07,3.5,1.76,2.15,41810.65,43274.17
v4,2021-08,20.71,6.49,4.29,41587.13,50198.8
v4,2021-09,-1.21,3.56,-1.1,50839.48,50222.26
v4,2021-10,19.37,10.6,3.78,50222.26,59949.7
v4,2021-11,-13.4,13.4,-8.11,59949.7,51915.41
v4,2021-12,0.0,0.0,0.0,51915.41,51915.41
v4,2022-01,0.0,0.0,0.0,51915.41,51915.41
v4,2022-02,0.0,0.0,0.0,51915.41,51915.41
v4,2022-03,5.54,4.06,2.9,51915.41,54792.25
v4,2022-04,-6.82,7.41,-4.28,55723.09,51923.2
v4,2022-05,0.0,0.0,0.0,51923.2,51923.2
v4,2022-06,0.0,0.0,0.0,51923.2,51923.2
v4,2022-07,0.0,0.0,0.0,51923.2,51923.2
v4,2022-08,0.0,0.0,0.0,51923.2,51923.2
v4,2022-09,0.0,0.0,0.0,51923.2,51923.2
v4,2022-10,0.0,0.0,0.0,51923.2,51923.2
v4,2022-11,0.0,0.0,0.0,51923.2,51923.2
v4,2022-12,0.0,0.0,0.0,51923.2,51923.2
v4,2023-01,34.34,3.86,8.17,51923.2,69752.33
v4,2023-02,-13.36,13.36,-7.39,71584.83,62022.36
v4,2023-03,14.93,4.14,3.68,62529.21,71864.13
v4,2023-04,-4.56,7.85,-1.83,71832.24,68558.95
