window,test_start,test_end,strategy_score,strategy_sharpe,strategy_trades,strategy_cagr,strategy_mdd,delta_vs_v4,valid_window,low_power_window
0,2022-01-01,2022-06-30,-7.0918,0.0949,5,-0.05,13.71,-11.744,True,True
1,2022-07-01,2022-12-31,-111.342,-1.5564,14,-37.76,30.57,,False,False
2,2023-01-01,2023-06-30,64.4978,0.8911,17,29.1,30.63,-211.0658,True,False
3,2023-07-01,2023-12-31,259.887,2.4685,14,93.49,8.31,117.0446,True,False
4,2024-01-01,2024-06-30,139.3941,1.3882,16,53.8,19.69,-231.0275,True,False
5,2024-07-01,2024-12-31,341.9566,2.4902,15,126.89,11.15,46.3592,True,True
6,2025-01-01,2025-06-30,55.0344,0.8418,13,20.36,12.71,-30.724,True,True
7,2025-07-01,2025-12-31,-4.1915,0.1005,9,0.32,11.26,-27.4214,True,True
