slow_period,e0_sharpe,e0_cagr,e0_mdd,x8_sharpe,x8_cagr,x8_mdd
30,0.6726,21.06,71.87,0.5197,13.42,71.08
48,0.6538,19.82,62.40,0.5510,14.20,71.00
60,0.7967,26.69,54.06,0.7319,21.82,58.90
72,0.9934,36.44,50.05,0.7966,23.45,48.20
84,1.1288,43.94,47.94,0.6239,15.79,43.27
96,1.0769,41.11,47.46,0.6329,15.76,48.24
108,1.2091,48.58,43.99,0.9206,27.25,42.66
120,1.2765,52.68,41.53,1.0847,34.27,39.83
144,1.3278,55.87,42.33,1.2359,39.07,43.05
168,1.1931,48.12,50.34,1.0672,29.68,46.96
200,1.4316,63.10,41.84,1.3783,42.95,39.43
240,1.2268,50.50,42.01,0.7963,18.12,46.76
300,1.0169,38.93,47.01,-0.2633,-6.96,57.02
360,1.1140,45.11,48.82,0.1792,1.53,36.67
500,1.0744,43.26,49.49,0.6090,11.86,40.80
720,0.8377,30.68,59.81,0.5677,10.80,49.03
