scenario,d_sharpe,d_cagr_pct,d_mdd_pct,d_trades,d_win_rate_pct,d_avg_days_held
smart,-0.22970000000000002,-24.590000000000003,-5.030000000000001,-66,1.4600000000000009,-0.4400000000000004
base,-0.2056,-21.129999999999995,-3.4099999999999966,-66,1.4400000000000048,-0.4400000000000004
harsh,-0.18030000000000013,-17.740000000000002,-1.8100000000000023,-66,0.0799999999999983,-0.4400000000000004
