strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,time_in_market_pct,avg_days_held,turnover_per_year
E0,smart,1.5205,67.95,38.51,1.7646,192,42.19,1.7619,0.4682,46.82,6.36,52.26
E0,base,1.3964,60.01,40.04,1.4989,192,40.62,1.6273,0.4682,46.82,6.36,52.28
E0,harsh,1.2653,52.04,41.61,1.2507,192,38.02,1.5057,0.4682,46.82,6.36,52.28
X8,smart,1.2908,43.36,33.48,1.2952,126,43.65,1.9058,0.2862,28.62,5.92,35.14
X8,base,1.1908,38.88,36.63,1.0613,126,42.06,1.7569,0.2862,28.62,5.92,35.13
X8,harsh,1.085,34.3,39.8,0.8617,126,38.1,1.6207,0.2862,28.62,5.92,35.11
