strategy,scenario,sharpe,cagr_pct,max_drawdown_mid_pct,calmar,trades,win_rate_pct,profit_factor,avg_exposure,time_in_market_pct,avg_days_held,turnover_per_year
X0,smart,1.5877,71.4,37.29,1.9148,174,43.1,1.8699,0.4551,45.51,6.82,48.11
X0,base,1.4739,64.05,38.63,1.658,174,41.38,1.7307,0.4551,45.51,6.82,48.14
X0,harsh,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,0.4551,45.51,6.82,48.15
X4A,smart,1.3816,58.33,43.17,1.351,186,39.25,1.6178,0.4674,46.74,6.55,51.71
X4A,base,1.2601,51.07,45.53,1.1219,186,38.71,1.5118,0.4674,46.74,6.55,51.69
X4A,harsh,1.1317,43.78,47.91,0.9139,186,36.02,1.4143,0.4674,46.74,6.55,51.65
X4B,smart,1.5758,70.64,38.51,1.8341,207,41.55,1.855,0.4565,45.87,5.78,52.15
X4B,base,1.4534,62.77,40.09,1.5659,207,37.68,1.7073,0.4565,45.87,5.78,52.1
X4B,harsh,1.324,54.86,41.7,1.3155,207,35.75,1.5737,0.4565,45.87,5.78,52.02
