trade_id,entry_time,exit_time,entry_reason,exit_reason,qty,avg_entry_price,avg_exit_price,buy_notional,sell_notional,fees,realized_pnl,return_pct,days_held
1,2020-01-05T03:59:59.999000+00:00,2020-02-26T19:59:59.999000+00:00,breakout_add,crash,1.6192194500000001,8204.236180421052,9264.49457619016,13284.458795731478,15001.249812186612,28.285708607918096,1688.5053078472156,12.697683174717369,52
2,2020-04-27T03:59:59.999000+00:00,2020-05-10T03:59:59.999000+00:00,breakout_add,crash,1.3892877799999999,8433.099349150101,8843.252950015107,11716.001873300189,12285.82325890494,24.001825132205134,545.8195604725479,4.654098659961783,13
3,2020-05-18T15:59:59.999000+00:00,2020-06-02T15:59:59.999000+00:00,rebound_add,emergency,0.80241333,9700.7259378025,9463.60286466075,7783.991803169477,7593.721088429972,15.377712891599451,-205.64842763110482,-2.639301143184739,15
4,2020-06-22T23:59:59.999000+00:00,2020-07-05T11:59:59.999000+00:00,breakout_add,crash,0.20666611,9689.080233642251,8982.220009852035,2002.404521364735,1856.3204686002816,3.858724989965017,-149.94277775441833,-7.4806555404478186,12
5,2020-07-22T23:59:59.999000+00:00,2020-08-02T07:59:59.999000+00:00,breakout_add,crash,0.7673427,10487.96075491721,10689.179051979618,8047.860123172211,8202.263514529479,16.25012363770169,138.15326771956552,1.7149310544017902,10
6,2020-08-10T15:59:59.999000+00:00,2020-08-22T03:59:59.999000+00:00,rebound_add,kill,0.4545646,12035.758214167838,11452.569746892666,5471.029618319917,5205.932785968366,10.676962404288282,-275.77379475583984,-5.035584079765637,11
7,2020-10-12T15:59:59.999000+00:00,2020-11-07T23:59:59.999000+00:00,breakout_add,emergency,1.1405824499999997,12422.084277251155,14624.464698987205,14168.411319053597,16680.407776309337,30.848819095362934,2481.147638160379,17.494332380496942,26
8,2020-11-16T03:59:59.999000+00:00,2020-11-26T03:59:59.999000+00:00,rebound_add,emergency,0.77865152,17517.72408302838,18035.431709499528,13640.202484190657,14043.316314458003,27.683518798648663,375.4303114686991,2.7496311484172264,10
9,2020-12-05T11:59:59.999000+00:00,2020-12-21T13:47:20.521000+00:00,rebound_add,emergency,0.46822943,19537.686401321083,22259.58614227515,9148.119767209322,10422.593331433392,19.570713098642717,1254.9028511254273,13.703900187414527,16
10,2020-12-30T19:59:59.999000+00:00,2021-01-04T11:59:59.999000+00:00,breakout_add,emergency,0.31598267,29190.189325555388,30964.73331048437,9223.593960894492,9784.319107284791,19.007913068179285,541.7172333221206,5.867301396389452,4
11,2021-01-13T19:59:59.999000+00:00,2021-01-15T15:59:59.999000+00:00,rebound_add,emergency,0.13738017,38437.11466435937,35591.13677480401,5280.497346899183,4889.516420615826,10.170013767515009,-401.1509400508721,-7.589250851462692,1
12,2021-02-01T03:59:59.999000+00:00,2021-02-22T19:59:59.999000+00:00,rebound_add,emergency,0.3150595,38308.24697918619,51242.24391388618,12069.377139138911,16144.355746387022,28.213732885525932,4046.764874362585,33.495698291675076,21
13,2021-03-08T23:59:59.999000+00:00,2021-03-15T11:59:59.999000+00:00,breakout_add,emergency,0.24340870000000003,54312.75421148049,55913.26807050173,13220.196896035994,13609.775893792332,26.829972789828325,362.74902496650975,2.7411591610775576,6
14,2021-03-29T11:59:59.999000+00:00,2021-04-18T03:59:59.999000+00:00,breakout_add,kill,0.35877407999999994,59535.83228498723,55969.05666162548,21359.913455080587,20080.246812242553,41.440160267323144,-1321.1068031053583,-6.178803200044565,19
15,2021-05-07T15:59:59.999000+00:00,2021-05-10T23:59:59.999000+00:00,rebound_add,emergency,0.05922872,58037.067205028645,54426.16725,3437.461203107824,3223.59222072342,6.661053423831244,-220.53003580823543,-6.4090825485672465,3
16,2021-07-28T11:59:59.999000+00:00,2021-09-07T15:59:59.999000+00:00,breakout_add,kill,1.00618775,44410.92217210036,44960.46315215109,44685.72585577078,45238.66725802081,89.92439311379157,463.0170091362379,1.0351279873454744,41
17,2021-10-04T19:59:59.999000+00:00,2021-11-10T23:59:59.999000+00:00,breakout_add,emergency,0.41790172999999997,55407.579042403646,63496.729319142134,23154.923136932226,26535.393031811218,49.69031616874345,3330.7795787102477,14.370387268858432,37
