config_id,mechanism_type,candidate_id,fold,cost_bps_rt,cagr,sharpe,max_drawdown,entries,exit_count,final_position_state,exposure,mean_daily_return
cfg_002,base,btcsd_20260318_c1_av4h,7,20,-0.5194171636942813,-2.0580502190684307,0.2007342460661411,3,3,flat,0.23007246376811594,-0.0018524811356428485
cfg_002,base,btcsd_20260318_c1_av4h,7,50,-0.5363349437748333,-2.1517243548601406,0.20433544988501728,3,3,flat,0.23007246376811594,-0.0019485686008011258
cfg_002,base,btcsd_20260318_c1_av4h,8,20,0.8523697551093017,1.628004407155131,0.16645951037105533,2,2,flat,0.5036231884057971,0.0019442466554487265
cfg_002,base,btcsd_20260318_c1_av4h,8,50,0.8084978491191701,1.5681750672728365,0.17021456151368564,2,2,flat,0.5036231884057971,0.0018808108636332794
cfg_002,base,btcsd_20260318_c1_av4h,9,20,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,9,50,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,10,20,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,10,50,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,11,20,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,11,50,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,12,20,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,12,50,0.0,,0.0,0,0,flat,0.0,0.0
cfg_002,base,btcsd_20260318_c1_av4h,13,20,1.0730381105729583,1.8800740219350878,0.10845087996777758,3,2,long,0.6814814814814815,0.002252559880817015
cfg_002,base,btcsd_20260318_c1_av4h,13,50,1.0110633241012752,1.8110056969365116,0.11243158219095739,3,2,long,0.6814814814814815,0.0021692574193944597
cfg_002,base,btcsd_20260318_c1_av4h,14,20,-0.3759191460760797,-1.321491222899178,0.26427650472263187,7,6,long,0.45688073394495415,-0.0011524197759765825
cfg_002,base,btcsd_20260318_c1_av4h,14,50,-0.42324179979594245,-1.5484969226913345,0.2764237211190059,7,6,long,0.45688073394495415,-0.0013648316477021182
cfg_003,base,btcsd_20260318_c1_av4h,1,20,0.3581105071952402,1.5449950382141622,0.061710922667037815,1,1,flat,0.23853211009174313,0.0008990295705212528
cfg_003,base,btcsd_20260318_c1_av4h,1,50,0.3417995412136752,1.4854147072979942,0.061710922667037926,1,1,flat,0.23853211009174313,0.0008661794187279179
cfg_003,base,btcsd_20260318_c1_av4h,2,20,-0.07718559700256311,-2.753182469216954,0.01981412805424365,1,1,flat,0.014652014652014652,-0.00021875078156541084
cfg_003,base,btcsd_20260318_c1_av4h,2,50,-0.08826588192786333,-2.7759643161994125,0.022759656674032347,1,1,flat,0.014652014652014652,-0.000251469587996661
