start,end,ret_pct,underwater_share,trades,pnl_usd
2019-01-01,2020-02-21,139.23992935235864,0.959951942330797,32,13923.992935235867
2019-01-08,2020-02-28,131.92044381732217,0.9703644373247897,31,14072.473594766467
2019-01-15,2020-03-06,142.8457185985279,0.9703644373247897,31,14072.473594766467
2019-01-22,2020-03-13,142.8457185985279,0.9703644373247897,31,14072.473594766467
2019-01-29,2020-03-20,142.8457185985279,0.9703644373247897,31,14072.473594766467
2019-02-05,2020-03-27,142.8457185985279,0.9703644373247897,31,14072.473594766467
2019-02-12,2020-04-03,145.43633215268602,0.9703644373247897,30,13787.042163375478
2019-02-19,2020-04-10,144.1065525359352,0.9711653984781738,31,14323.35317338163
2019-02-26,2020-04-17,137.62527158307702,0.9731678013616339,33,12815.132685650724
2019-03-05,2020-04-24,144.90661259127396,0.9731678013616339,33,18434.606551129218
2019-03-12,2020-05-01,185.73527521475143,0.9731570512820513,33,17918.791188946223
2019-03-19,2020-05-08,220.5136066269245,0.9731678013616339,32,17780.36419964426
2019-03-26,2020-05-15,204.27150600549254,0.9731678013616339,33,18864.741435093845
2019-04-02,2020-05-22,174.74888138855405,0.9731678013616339,32,16426.1237111436
2019-04-09,2020-05-29,111.4241686688441,0.9771726071285542,33,14420.747825762224
2019-04-16,2020-06-05,119.48602412728393,0.9779735682819384,33,13503.951811633277
2019-04-23,2020-06-12,98.24932104810158,0.9779735682819384,33,13503.951811633277
2019-04-30,2020-06-19,110.49023945340028,0.9795754905887064,32,9928.945263260379
2019-05-07,2020-06-26,77.58295529316032,0.9807769323187825,33,8962.443191620603
2019-05-14,2020-07-03,41.59445489617373,0.986784140969163,32,7892.259511129403
2019-05-21,2020-07-10,28.57643773667704,0.9887865438526231,32,4364.106681927047
2019-05-28,2020-07-17,13.206502635375529,0.9907889467360833,33,4064.921190931504
2019-06-04,2020-07-24,25.807222725007996,0.9911894273127754,32,4941.088317743655
2019-06-11,2020-07-31,44.233389932962375,0.9911894273127754,32,9157.240996358374
2019-06-18,2020-08-07,37.078002222509966,0.9915899078894673,32,-2102.9628967758454
2019-06-25,2020-08-14,11.09832813250673,0.9963956748097718,33,-1316.4351657415295
2019-07-02,2020-08-21,9.877907913504313,1.0,33,1452.1528661725474
2019-07-09,2020-08-28,-5.676372627344062,1.0,32,621.737447172055
2019-07-16,2020-09-04,7.327418682989206,1.0,32,1856.5206724412947
2019-07-23,2020-09-11,7.327418682989206,1.0,32,1856.5206724412947
2019-07-30,2020-09-18,7.327418682989206,1.0,32,1856.5206724412947
2019-08-06,2020-09-25,-3.668500197042235,1.0,32,-402.376921293504
2019-08-13,2020-10-02,2.2656323705438464,1.0,31,1806.229118613579
2019-08-20,2020-10-09,7.735458038815479,1.0,31,1806.229118613579
2019-08-27,2020-10-16,13.594378727861223,1.0,32,6918.442329045299
2019-09-03,2020-10-23,27.92736549164352,1.0,32,6918.442329045299
2019-09-10,2020-10-30,37.680906603445365,1.0,32,11147.053083362965
2019-09-17,2020-11-06,62.66700597376192,0.9975971165398478,31,11767.985417470754
2019-09-24,2020-11-13,63.89881678269494,0.9971966359631558,32,17081.920540601554
2019-10-01,2020-11-20,79.07958863616994,0.9943932719263116,32,17081.920540601554
2019-10-08,2020-11-27,78.36278812221092,0.9919903884661594,32,17081.920540601554
2019-10-15,2020-12-04,102.90070432669319,0.9903884661593912,33,21400.149244702596
2019-10-22,2020-12-11,94.81993970785072,0.9903884661593912,34,50589.65753398664
2019-10-29,2020-12-18,146.17360615011253,0.985983179815779,33,51018.6256254615
2019-11-05,2020-12-25,153.10828403207012,0.9831798157789348,32,51899.30317267237
2019-11-12,2021-01-01,237.87809030871497,0.9767721265518622,31,51984.474485635146
2019-11-19,2021-01-08,335.10116846203243,0.9711653984781738,32,61433.77802415166
2019-11-26,2021-01-15,342.5761230289158,0.9707649179014818,33,60504.146890133285
2019-12-03,2021-01-22,256.6118562354746,0.9707649179014818,34,52358.29657062172
2019-12-10,2021-01-29,256.6118562354746,0.9707649179014818,34,52358.29657062172
2019-12-17,2021-02-05,296.13402318699593,0.9707649179014818,35,94464.23914337397
2019-12-24,2021-02-12,404.4945263891302,0.9687625150180216,35,94464.23914337397
2019-12-31,2021-02-19,449.94929353982815,0.9659591509811775,34,94877.35045137318
2020-01-07,2021-02-26,418.16892182602334,0.9623548257909491,34,83667.21646298176
2020-01-14,2021-03-05,355.74732904100745,0.9623548257909491,34,98525.11414657683
