start,end,ret_pct,underwater_share,trades,pnl_usd
2021-11-09,2022-12-30,-37.36769380029382,0.9995995194233079,21,-59830.24136279475
2021-10-26,2022-12-16,-34.59960839976116,0.9995995194233079,23,-53742.59646191931
2021-10-19,2022-12-09,-32.98341043793811,0.9979975971165399,23,-58073.75541500275
2022-03-29,2023-05-19,-31.682722172556332,1.0,30,-47433.11699681045
2021-11-02,2022-12-23,-30.552655200945267,0.9995995194233079,22,-50531.234537769094
2022-04-05,2023-05-26,-29.133953436530835,1.0,29,-38881.875052356394
2021-11-16,2023-01-06,-28.311594921003636,1.0,20,-46035.04643601026
2022-02-08,2023-03-31,-27.28083801725869,1.0,29,-38926.75601517396
2022-04-12,2023-06-02,-27.06622636416578,1.0,30,-42143.3910708068
2022-04-19,2023-06-09,-27.06622636416578,1.0,30,-42143.3910708068
2022-04-26,2023-06-16,-27.06622636416578,1.0,30,-42143.3910708068
2022-01-25,2023-03-17,-25.507223401180056,1.0,28,-36578.550105640286
