month,nav_start,nav_end,underwater_share,exposure_mean,trades,pnl_usd,win_rate,ret_pct
2025-01,308269.26418132806,303839.6629190166,1.0,0.489247311827957,5.0,-7437.327592476212,0.2,-1.4369260179327825
2025-02,303304.6263533933,300831.93658885185,1.0,0.02976190476190476,0.0,0.0,nan,-0.8152496037631907
2025-03,300831.93658885185,286975.1405163557,1.0,0.04838709677419354,1.0,-13856.796072496187,0.0,-4.606158584630027
2025-04,286975.1405163557,317435.3187225585,1.0,0.5388888888888889,1.0,30022.24651914447,1.0,10.614221897895293
2025-05,319493.53141435643,336310.06147809565,0.9408602150537635,0.9032258064516129,4.0,18278.82380875981,0.5,5.263496255869282
2025-06,335632.0836421235,324480.8957333202,1.0,0.4722222222222222,3.0,-15204.682383081326,0.3333333333333333,-3.3224439653670057
2025-07,324619.8380552462,330025.0570659713,1.0,0.8817204301075269,3.0,9129.01494502334,0.3333333333333333,1.6650920175141026
2025-08,329200.5434062019,325851.64385660226,1.0,0.15591397849462366,2.0,-3348.8995495995964,0.5,-1.0172825096061322
2025-09,325851.64385660226,327433.6003660098,1.0,0.3499999999999999,1.0,1581.9565094075244,1.0,0.48548366694867173
2025-10,327433.6003660098,312043.89412766125,1.0,0.3279569892473118,3.0,-15389.706238348528,0.3333333333333333,-4.700099874034224
2025-11,312043.89412766125,312043.89412766125,1.0,0.0,0.0,0.0,nan,0.0
2025-12,312043.89412766125,312043.89412766125,1.0,0.0,0.0,0.0,nan,0.0
2026-01,312043.89412766125,307790.4842884765,1.0,0.510752688172043,3.0,-4253.409839184656,0.6666666666666666,-1.3630806175763843
2026-02,307790.4842884765,307790.4842884765,1.0,0.0,0.0,0.0,nan,0.0
