start_month,end_month,months,min_nav_ratio_to_peak
2021-11,2024-01,27,0.6681350627101341
2019-07,2020-06,12,0.7194566658184884
2025-06,2026-02,9,0.9151985609223986
2024-03,2024-10,8,0.8705609815432586
2021-04,2021-06,3,0.900918508974689
2025-01,2025-03,3,0.9309236237951802
2020-08,2020-09,2,0.9201797653357057
2021-09,2021-09,1,0.9208896157940744
