candidate_label,n_threshold,skipped_trade_episode_id,skipped_trade_was_win,skipped_trade_return_pct,skipped_trade_pnl_usd,native_top10_flag,unit_size_top10_flag
,2,5,1,1.726183,154.230892,0,0
,2,14,1,61.744534,11700.169884,0,1
,2,21,0,-3.696761,-902.710742,0,0
,2,24,0,-3.833113,-855.428116,0,0
,2,27,1,7.879817,1500.128335,0,0
,2,33,0,-4.381477,-1052.546883,0,0
,2,42,0,-1.694585,-462.685565,0,0
,2,45,0,-1.145009,-296.037342,0,0
,2,51,0,-3.094097,-822.808176,0,0
,2,61,1,58.342363,38192.607815,1,1
,2,66,1,4.570949,4520.595726,0,0
,2,69,1,8.046392,7509.588944,0,0
,2,75,1,31.797029,38960.84706,1,1
,2,81,1,1.14314,1478.399747,0,0
,2,84,1,11.501257,15795.374431,0,0
,2,87,0,-5.257612,-7819.337493,0,0
,2,90,1,2.494746,3132.726362,0,0
,2,93,0,-2.893608,-3708.988683,0,0
,2,96,0,-1.853263,-2255.391196,0,0
,2,103,0,-5.098208,-7181.163888,0,0
,2,106,0,-5.433084,-6548.236416,0,0
,2,114,0,-2.486741,-2950.160823,0,0
,2,119,0,-1.525959,-1929.037309,0,0
,2,122,1,1.547611,1555.668333,0,0
,2,128,1,14.50236,19303.560247,0,0
,2,137,1,1.114791,2019.821756,0,0
,2,147,1,0.761749,1187.281961,0,0
,2,154,1,6.166557,11203.309126,0,0
,2,166,0,-4.319547,-12334.970181,0,0
,2,172,1,0.901651,2311.093415,0,0
,2,175,1,7.40913,21471.946364,1,0
,2,178,1,1.191636,3161.924462,0,0
,2,184,1,0.936881,2263.964345,0,0
,3,22,0,-2.477486,-592.029876,0,0
,3,26,0,-1.730321,-372.511179,0,0
,3,34,1,2.548915,531.120672,0,0
,3,43,0,-3.395678,-871.636706,0,0
,3,52,0,-3.962348,-1007.710186,0,0
,3,88,0,-0.195192,-471.771068,0,0
,3,94,0,-3.814733,-4677.54674,0,0
,3,104,0,-3.666044,-4940.554423,0,0
,3,108,1,9.593545,9778.37827,0,0
,3,115,0,-2.499785,-2882.368324,0,0
,3,120,0,-0.134698,-321.933663,0,0
,3,167,1,10.793502,28018.725249,1,0
,4,23,0,-1.67334,-399.474678,0,0
,4,44,0,-3.172528,-786.684346,0,0
,4,53,1,20.260746,4718.283018,0,0
,4,89,0,-1.386833,-2088.944237,0,0
,4,95,0,-0.194879,-390.423736,0,0
,4,105,0,-5.393197,-6892.728001,0,0
,4,116,1,11.639146,12147.412065,0,0
,4,121,0,-0.744587,-1006.656333,0,0
,5,24,0,-3.833113,-855.428116,0,0
,5,45,0,-1.145009,-296.037342,0,0
,5,90,1,2.494746,3132.726362,0,0
,5,96,0,-1.853263,-2255.391196,0,0
,5,106,0,-5.433084,-6548.236416,0,0
,5,122,1,1.547611,1555.668333,0,0
