removal_index,removal_pct,remaining_terminal_value,remaining_cagr,remaining_sharpe,remaining_net_pnl,marginal_terminal_damage,marginal_cagr_damage,marginal_sharpe_damage
0,0.0,320900.1,70.509746,1.270151,310900.1,0.0,0.0,0.0
1,0.54,255059.99,64.591163,1.203413,245059.99,65840.11,5.918583,0.066738
2,1.08,204289.16,59.065577,1.149491,194289.16,50770.83,5.525586,0.053922
3,1.61,165328.32,53.970683,1.085969,155328.32,38960.84,5.094894,0.063522
4,2.15,127135.71,47.872466,1.007746,117135.71,38192.61,6.098217,0.078223
5,2.69,91422.35,40.557562,0.935535,81422.35,35713.36,7.314904,0.072211
6,3.23,63022.74,32.739319,0.871615,53022.74,28399.61,7.818243,0.06392
7,3.76,35004.02,21.258013,0.839532,25004.02,28018.72,11.481306,0.032083
8,4.3,9721.26,-0.433983,0.738407,-278.74,25282.76,21.691996,0.101125
9,4.84,-14472.27,-100.0,0.708672,-24472.27,24193.53,99.566017,0.029735
10,5.38,-35944.21,-100.0,0.682323,-45944.21,21471.94,0.0,0.026349
11,5.91,-55392.43,-100.0,0.623614,-65392.43,19448.22,0.0,0.058709
12,6.45,-74695.99,-100.0,0.573743,-84695.99,19303.56,0.0,0.049871
13,6.99,-92639.15,-100.0,0.53802,-102639.15,17943.16,0.0,0.035723
14,7.53,-110117.89,-100.0,0.511818,-120117.89,17478.74,0.0,0.026202
15,8.06,-125913.27,-100.0,0.470317,-135913.27,15795.38,0.0,0.041501
16,8.6,-140897.68,-100.0,0.413513,-150897.68,14984.41,0.0,0.056804
17,9.14,-153045.09,-100.0,0.370353,-163045.09,12147.41,0.0,0.04316
18,9.68,-164745.26,-100.0,0.162216,-174745.26,11700.17,0.0,0.208137
19,10.22,-176099.65,-100.0,0.140897,-186099.65,11354.39,0.0,0.021319
20,10.75,-187302.96,-100.0,0.110516,-197302.96,11203.31,0.0,0.030381
21,11.29,-198298.99,-100.0,0.089446,-208298.99,10996.03,0.0,0.02107
22,11.83,-208592.43,-100.0,0.07172,-218592.43,10293.44,0.0,0.017726
23,12.37,-218370.81,-100.0,0.023877,-228370.81,9778.38,0.0,0.047843
24,12.9,-227392.63,-100.0,-0.005629,-237392.63,9021.82,0.0,0.029506
25,13.44,-236039.68,-100.0,-0.07449,-246039.68,8647.05,0.0,0.068861
26,13.98,-244568.42,-100.0,-0.094642,-254568.42,8528.74,0.0,0.020152
27,14.52,-252078.01,-100.0,-0.136807,-262078.01,7509.59,0.0,0.042165
28,15.05,-259334.62,-100.0,-0.171729,-269334.62,7256.61,0.0,0.034922
29,15.59,-266524.49,-100.0,-0.209963,-276524.49,7189.87,0.0,0.038234
30,16.13,-273674.83,-100.0,-0.223794,-283674.83,7150.34,0.0,0.013831
31,16.67,-280157.42,-100.0,-0.235472,-290157.42,6482.59,0.0,0.011678
32,17.2,-285525.3,-100.0,-0.254504,-295525.3,5367.88,0.0,0.019032
33,17.74,-290595.74,-100.0,-0.268942,-300595.74,5070.44,0.0,0.014438
34,18.28,-295596.09,-100.0,-0.362637,-305596.09,5000.35,0.0,0.093695
35,18.82,-300585.87,-100.0,-0.518755,-310585.87,4989.78,0.0,0.156118
36,19.35,-305332.18,-100.0,-0.541726,-315332.18,4746.31,0.0,0.022971
37,19.89,-310050.46,-100.0,-0.69005,-320050.46,4718.28,0.0,0.148324
