ledger_view,tested_window_max_removal_pct,base_terminal_value,base_cagr,base_sharpe,max_cliff_score_terminal,first_terminal_cliff_index,cliff_flag_terminal,max_cliff_score_cagr,first_cagr_cliff_index,cliff_flag_cagr,max_cliff_score_sharpe,first_sharpe_cliff_index,cliff_flag_sharpe,interpretation
native,19.89,320900.1,70.509746,1.270151,3.861,1,True,21.6055,8,True,3.9287,18,True,single-point collapse
unit_size,19.89,497466.27,82.406605,1.270151,14.3452,1,True,4.338,1,True,1.1484,0,False,single-point collapse
