config_id,mechanism_type,candidate_id,cost_bps_rt,agg_cagr,agg_sharpe,agg_mdd,total_entries,avg_exposure,mean_fold_sharpe,median_fold_sharpe,discovery_years,entries_per_year,calmar_50bps,pass_cagr,pass_mdd,pass_entries_per_year,pass_exposure,hard_constraint_pass,fail_reasons,is_base_config,is_ablation_variant,ablation_fail_parent_flag
cfg_001,base,btcsd_20260318_c1_av4h,50,0.2299003630869573,0.9761750358390732,0.2156913246531812,22.0,0.1827795459062835,1.1817937400226382,1.4096631251173082,3.4986301369863013,6.288175411119812,1.0658767266445388,True,True,True,True,True,,True,False,True
cfg_002,base,btcsd_20260318_c1_av4h,50,0.2063795633919096,0.8237273991320327,0.2764237211190055,22.0,0.239062309167846,0.5659920811476827,1.308139798982298,3.4986301369863013,6.288175411119812,0.746605835984168,True,True,True,True,True,,True,False,True
cfg_003,base,btcsd_20260318_c1_av4h,50,0.2394677550414394,0.9378907038559968,0.2449231339628182,26.0,0.2275729861894395,0.661161496588067,1.2665360411056403,3.4986301369863013,7.431480031323415,0.9777261590887246,True,True,True,True,True,,True,False,True
cfg_004,base,btcsd_20260318_c1_av4h,50,0.1229824399344912,0.5339888700864979,0.478416368126123,26.0,0.2719518941326072,0.1426889397129546,1.130864890666602,3.4986301369863013,7.431480031323415,0.2570615224060851,True,False,True,True,False,mdd>0.45,True,False,True
cfg_005,base,btcsd_20260318_c1_av4h,50,0.193414925115354,0.7541085277987538,0.3765538474867919,30.0,0.257460743955036,0.3302376972871392,1.0476573749132865,3.4986301369863013,8.574784651527017,0.5136447984962849,True,True,True,True,True,,True,False,True
cfg_006,base,btcsd_20260318_c1_av4h,50,0.2585165342178723,0.9563291918086434,0.3894448608601254,19.0,0.2377451931251332,0.5686967679514174,1.4854147072979942,3.4986301369863013,5.43069694596711,0.6638077946308352,True,True,False,True,False,entries_per_year_out_of_range,True,False,True
cfg_007,base,btcsd_20260318_c2_flow1hpb,50,-0.23263664531475,-0.8995311438850283,0.6877338996289251,100.0,0.1271330762342971,-0.8217281326217792,-0.7012674904035068,3.4986301369863013,28.582615505090054,-0.3382654911154908,False,False,True,False,False,cagr<=0|mdd>0.45|exposure_out_of_range,True,False,True
cfg_008,base,btcsd_20260318_c2_flow1hpb,50,-0.263342478062131,-0.9172269951767336,0.790300897355559,87.0,0.1633916666891071,-0.9628571837369448,-1.5111617171889615,3.4986301369863013,24.86687548942835,-0.33321799196142426,False,False,True,True,False,cagr<=0|mdd>0.45,True,False,True
cfg_009,base,btcsd_20260318_c2_flow1hpb,50,-0.3108375711044455,-1.126333161219802,0.8143623729801107,180.0,0.1972538625695124,-0.93393395053612,-0.0456872498856891,3.4986301369863013,51.4487079091621,-0.381694416905528,False,False,True,True,False,cagr<=0|mdd>0.45,True,False,True
cfg_010,base,btcsd_20260318_c2_flow1hpb,50,-0.2189484763841125,-0.5897895700928757,0.7916780177462889,138.0,0.2477409952822455,-0.4756645357341611,0.4115911745647579,3.4986301369863013,39.444009397024274,-0.2765625310746969,False,False,True,True,False,cagr<=0|mdd>0.45,True,False,True
