metric,value
n_trades,202
weight_min,0.09509899450142126
weight_p5,0.14815119189919523
weight_p25,0.22116882086700723
weight_median,0.2878087664006007
weight_mean,0.3107174223124573
weight_p75,0.38433588506802735
weight_p95,0.5195969593411346
weight_max,0.9055354282680735
weight_std,0.12299664203319075
rv_min,0.16564785354327868
rv_median,0.5212006020051065
rv_mean,0.5613804367280331
rv_max,1.5773037431826709
rv_gt_target,202
rv_lt_floor,0
