strategy,scenario,pipeline,sharpe,cagr_pct,mdd_pct,calmar,trades,win_rate_pct,profit_factor,total_return_pct,avg_exposure,time_in_market_pct,avg_trade_pnl,avg_days_held,fees_total,turnover_per_year
E0,smart,BacktestEngine,1.5205,67.95,38.51,1.7646,192,42.19,1.7619,3952.79,0.4682,46.82,2058.74,6.36,22426.37,52.26
E0,base,BacktestEngine,1.3964,60.01,40.04,1.4989,192,40.62,1.6273,2768.54,0.4682,46.82,1441.95,6.36,50351.24,52.28
E0,harsh,BacktestEngine,1.2653,52.04,41.61,1.2507,192,38.02,1.5057,1891.73,0.4682,46.82,985.28,6.36,58985.54,52.28
E0_EMA21,smart,BacktestEngine,1.5877,71.40,37.29,1.9148,174,43.10,1.8699,4586.78,0.4551,45.51,2636.08,6.82,23018.71,48.11
E0_EMA21,base,BacktestEngine,1.4739,64.05,38.63,1.6580,174,41.38,1.7307,3326.52,0.4551,45.51,1911.79,6.82,52684.44,48.14
E0_EMA21,harsh,BacktestEngine,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,2361.93,0.4551,45.51,1357.43,6.82,62889.03,48.15
E5,smart,BacktestEngine,1.6370,74.36,36.97,2.0116,207,44.44,1.8466,5195.38,0.4582,45.82,2509.85,5.77,29522.21,56.16
E5,base,BacktestEngine,1.5011,65.49,38.65,1.6947,207,42.51,1.6882,3548.20,0.4582,45.82,1714.11,5.77,64654.22,56.20
E5,harsh,BacktestEngine,1.3573,56.62,40.37,1.4027,207,40.10,1.5479,2361.90,0.4582,45.82,1141.02,5.77,73823.30,56.22
E5_EMA21,smart,BacktestEngine,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,6070.93,0.4448,44.48,3229.22,6.17,30721.35,51.53
E5_EMA21,base,BacktestEngine,1.5870,69.89,37.50,1.8636,188,43.09,1.7994,4299.32,0.4448,44.48,2286.87,6.17,68735.68,51.57
E5_EMA21,harsh,BacktestEngine,1.4545,61.60,40.97,1.5037,188,42.02,1.6519,2977.90,0.4448,44.48,1583.99,6.17,80147.19,51.57
X0,smart,BacktestEngine,1.5877,71.40,37.29,1.9148,174,43.10,1.8699,4586.78,0.4551,45.51,2636.08,6.82,23018.71,48.11
X0,base,BacktestEngine,1.4739,64.05,38.63,1.6580,174,41.38,1.7307,3326.52,0.4551,45.51,1911.79,6.82,52684.44,48.14
X0,harsh,BacktestEngine,1.3536,56.62,40.01,1.4151,174,40.23,1.6034,2361.93,0.4551,45.51,1357.43,6.82,62889.03,48.15
X0_E5EXIT,smart,BacktestEngine,1.7122,78.14,35.72,2.1876,188,45.21,1.9635,6070.93,0.4448,44.48,3229.22,6.17,30721.35,51.53
X0_E5EXIT,base,BacktestEngine,1.5870,69.89,37.50,1.8636,188,43.09,1.7994,4299.32,0.4448,44.48,2286.87,6.17,68735.68,51.57
X0_E5EXIT,harsh,BacktestEngine,1.4545,61.60,40.97,1.5037,188,42.02,1.6519,2977.90,0.4448,44.48,1583.99,6.17,80147.19,51.57
X0_VOLSIZE,smart,BacktestEngine,1.9280,26.24,13.06,2.0084,188,45.21,2.6289,427.76,0.1476,44.48,227.53,6.17,1342.08,17.60
X0_VOLSIZE,base,BacktestEngine,1.8068,24.36,13.67,1.7824,188,43.09,2.4143,374.22,0.1477,44.48,199.05,6.17,3590.63,17.53
X0_VOLSIZE,harsh,BacktestEngine,1.6785,22.41,14.50,1.5451,188,42.02,2.2152,323.56,0.1477,44.48,172.11,6.17,5029.22,17.46
