strategy,sharpe_med,sharpe_p5,sharpe_p95,cagr_med,cagr_p5,cagr_p95,mdd_med,mdd_p5,mdd_p95,p_cagr_gt0,p_sharpe_gt0
E0,0.3365,-0.3806,0.9816,5.44,-19.87,38.44,70.49,49.21,89.40,0.620,0.776
E0_EMA21,0.2689,-0.4268,0.9687,3.48,-17.30,31.79,62.53,43.10,85.40,0.594,0.740
E5,0.2907,-0.4197,0.9441,3.79,-20.40,36.12,69.42,49.03,89.38,0.590,0.754
E5_EMA21,0.2357,-0.4865,0.9397,2.45,-18.20,31.21,62.41,43.01,86.21,0.560,0.710
X0,0.2689,-0.4268,0.9687,3.48,-17.30,31.79,62.53,43.10,85.40,0.594,0.740
X0_E5EXIT,0.2357,-0.4865,0.9397,2.45,-18.20,31.21,62.41,43.01,86.21,0.560,0.710
X0_VOLSIZE,0.3833,-0.3796,1.0913,3.32,-3.75,11.73,22.16,14.17,38.76,0.754,0.790
