cost_bps_rt,e0_sharpe,e5_sharpe,d_sharpe,headline_delta,matched_delta,cascade_delta,cf_ret,d_churn_rate,n_matched,n_diff_exit,n_e0_only,n_e5_only,median_diff_dpnl,e0_trades,e5_trades
10,1.6205,1.7431,0.1226,167060.9780,129293.6626,37767.3154,0.567347,0.011417,172,69,17,30,236.6648,189,202
15,1.5895,1.7089,0.1194,148557.0848,115326.9797,33230.1051,0.557562,0.011417,172,69,17,30,236.5426,189,202
22,1.5460,1.6610,0.1150,125961.6410,98246.1654,27715.4756,0.543087,0.011417,172,69,17,30,228.0361,189,202
30,1.4963,1.6062,0.1100,104213.3897,81771.3623,22442.0274,0.525324,0.011417,172,69,17,30,215.9012,189,202
35,1.4652,1.5720,0.1068,92519.7624,72895.2468,19624.5157,0.513496,0.011417,172,69,17,30,208.6393,189,202
40,1.4340,1.5377,0.1036,82101.1832,64973.7481,17127.4351,0.501057,0.011417,172,69,17,30,201.6162,189,202
50,1.3718,1.4690,0.0973,64558.8157,51599.9833,12958.8324,0.474147,0.011417,172,69,17,30,164.0185,189,202
60,1.3095,1.4004,0.0909,50659.9603,40960.6527,9699.3076,0.444136,0.011417,172,69,17,30,140.2727,189,202
75,1.2160,1.2973,0.0813,35063.0862,28951.9509,6111.1353,0.392025,0.011417,172,69,17,30,90.4526,189,202
