entry_bar,e0_exit_bar,e5_exit_bar,e0_pnl,e5_pnl,d_pnl,e0_bars,e5_bars,d_bars,e5_exits_first,e0_exit_reason,e5_exit_reason,e0_trail_dist,e5_trail_dist,duration_bucket,winner_loser
344,387,389,246.93,49.96,-196.97,43,45,2,False,trail_stop,trail_stop,714.73,779.39,medium,winner
625,691,688,800.41,1035.95,235.54,66,63,-3,True,trail_stop,trail_stop,786.38,606.96,medium,winner
696,758,757,13.07,44.25,31.17,62,61,-1,True,trail_stop,trail_stop,577.52,554.08,medium,winner
1185,1243,1242,1667.16,1828.20,161.04,58,57,-1,True,trail_stop,trail_stop,495.60,422.29,medium,winner
1729,1750,1746,-246.82,-200.22,46.59,21,17,-4,True,trail_stop,trail_stop,247.17,205.19,medium,loser
2577,2692,2612,155.53,-97.51,-253.04,115,35,-80,True,trail_stop,trail_stop,79.76,114.57,long,winner
2695,2793,2748,2009.19,1979.97,-29.22,98,53,-45,True,trail_stop,trail_stop,361.36,135.23,long,winner
2886,3007,2980,3719.62,2903.24,-816.39,121,94,-27,True,trail_stop,trail_stop,948.65,390.91,long,winner
3169,3256,3252,6777.23,9410.86,2633.63,87,83,-4,True,trail_stop,trail_stop,1944.36,836.86,long,winner
3289,3338,3337,398.73,677.56,278.83,49,48,-1,True,trail_stop,trail_stop,1363.48,1264.82,medium,winner
3479,3521,3498,693.05,1091.00,397.95,42,19,-23,True,trail_stop,trail_stop,791.64,699.28,medium,winner
3680,3697,3695,-769.57,-759.60,9.97,17,15,-2,True,trail_stop,trail_stop,489.48,484.83,short,loser
3984,4015,4006,-375.77,-349.41,26.36,31,22,-9,True,trail_stop,trail_stop,642.47,613.89,medium,loser
4404,4434,4430,888.69,1231.33,342.63,30,26,-4,True,trail_stop,trail_stop,498.81,379.12,medium,winner
4439,4492,4491,1069.31,1257.57,188.26,53,52,-1,True,trail_stop,trail_stop,523.69,441.68,medium,winner
4503,4519,4516,-756.89,-735.23,21.66,16,13,-3,True,trail_stop,trail_stop,374.73,378.84,short,loser
4630,4660,4655,-674.04,-661.66,12.37,30,25,-5,True,trail_stop,trail_stop,479.50,420.34,medium,loser
5061,5161,5103,3549.09,4397.85,848.76,100,42,-58,True,trail_stop,trail_stop,901.81,421.11,long,winner
5310,5357,5356,-928.69,-447.86,480.83,47,46,-1,True,trail_stop,trail_stop,462.23,358.85,medium,loser
5429,5434,5433,-900.08,-812.73,87.34,5,4,-1,True,trail_stop,trail_stop,346.33,315.73,short,loser
5520,5529,5528,-643.87,-734.57,-90.71,9,8,-1,True,trend_exit,trail_stop,252.90,243.15,short,loser
