slow_period,d_churn_rate,headline_delta,matched_delta,cascade_delta,cf_ret,n_matched,n_diff_exit,n_e0_only,n_e5_only,e0_trades,e5_trades
30,-0.004762,14084.98,-15021.34,29106.33,5.785342,227,53,5,23,232,250
48,0.020334,12287.27,-3909.55,16196.81,1.581140,209,64,12,29,221,238
60,0.027920,23066.47,4626.47,18440.00,1.371561,200,66,14,30,214,230
72,0.027246,26314.23,6963.93,19350.30,1.187337,192,68,15,33,207,225
84,0.027749,29776.12,9438.15,20337.97,1.305936,184,69,17,33,201,217
96,0.023211,29254.96,11945.15,17309.81,1.197985,178,69,17,33,195,211
108,0.018772,45895.32,34769.49,11125.82,0.433745,175,69,17,32,192,207
120,0.011417,64558.82,51599.98,12958.83,0.474147,172,69,17,30,189,202
144,0.014886,51001.09,37532.64,13468.45,0.600055,159,65,16,30,175,189
168,0.018378,38245.94,25923.98,12321.96,0.632587,157,64,16,30,173,187
200,0.014854,67190.55,53702.48,13488.07,0.526828,142,63,15,27,157,169
240,0.015799,48023.33,38359.69,9663.65,0.545556,139,61,15,27,154,166
300,0.014512,31440.01,23873.50,7566.51,0.428351,138,59,14,26,152,164
360,0.010525,39267.12,19944.87,19322.26,0.887021,136,56,13,25,149,161
500,0.008830,34609.36,17529.01,17080.35,0.900163,128,52,13,23,141,151
720,0.007048,29909.22,13431.60,16477.62,0.851901,127,51,12,21,139,148
