config_id,mechanism_type,candidate_id,cost_bps_rt,agg_cagr,agg_sharpe,agg_mdd,total_entries,avg_exposure,mean_fold_sharpe,median_fold_sharpe
cfg_001,base,btcsd_20260318_c1_av4h,20,0.2523355230846982,1.0543686279054285,0.1929152793349601,22.0,0.18277954590628356,1.290696483988032,1.5248137879189505
cfg_001,base,btcsd_20260318_c1_av4h,50,0.22990036308695738,0.9761750358390733,0.2156913246531812,22.0,0.18277954590628356,1.1817937400226382,1.4096631251173082
cfg_002,base,btcsd_20260318_c1_av4h,20,0.22785821120733463,0.890763239739472,0.2642765047226311,22.0,0.23906230916784607,0.6534461077071552,1.3946549768872591
cfg_002,base,btcsd_20260318_c1_av4h,50,0.20637956339190966,0.8237273991320327,0.2764237211190055,22.0,0.23906230916784607,0.5659920811476827,1.308139798982298
cfg_003,base,btcsd_20260318_c1_av4h,20,0.26588057507993335,1.0202895376172652,0.23224709364011153,26.0,0.22757298618943958,0.763284736930265,1.3907078709248761
cfg_003,base,btcsd_20260318_c1_av4h,50,0.23946775504143947,0.9378907038559968,0.24492313396281828,26.0,0.22757298618943958,0.661161496588067,1.2665360411056403
cfg_004,base,btcsd_20260318_c1_av4h,20,0.14692364211929498,0.6046478693675948,0.4672882797497723,26.0,0.27195189413260723,0.23720353332508784,1.244314915560356
cfg_004,base,btcsd_20260318_c1_av4h,50,0.1229824399344912,0.5339888700864979,0.478416368126123,26.0,0.27195189413260723,0.14268893971295463,1.130864890666602
cfg_005,base,btcsd_20260318_c1_av4h,20,0.22305576780453618,0.8414800484436132,0.363252502392549,30.0,0.25746074395503604,0.4400403552787197,1.23642070363559
cfg_005,base,btcsd_20260318_c1_av4h,50,0.19341492511535407,0.7541085277987538,0.3765538474867919,30.0,0.25746074395503604,0.3302376972871392,1.0476573749132865
cfg_006,base,btcsd_20260318_c1_av4h,20,0.27817438865015753,1.0143482379247926,0.3783020919168072,19.0,0.23774519312513323,0.6354609920077696,1.5449950382141622
cfg_006,base,btcsd_20260318_c1_av4h,50,0.25851653421787235,0.9563291918086434,0.3894448608601254,19.0,0.23774519312513323,0.5686967679514174,1.4854147072979942
