year,e5_sharpe,x23_sharpe,d_sharpe,d_sharpe_negative
2020,0.769566,0.726700,-0.042866,True
2021,1.107518,1.188529,0.081011,False
2022,1.582446,1.344160,-0.238286,True
2023,1.529199,1.256794,-0.272405,True
2024,1.316867,1.253211,-0.063656,True
2025,1.611776,1.371673,-0.240104,True
