fold,e5_sharpe,x23_fixed_sharpe,d_sharpe_fixed,x23_cal_sharpe,d_sharpe_cal
1,-1.106981,-1.183268,-0.076286,-1.177966,-0.070985
2,1.260231,1.298645,0.038415,1.288491,0.028261
3,1.891857,1.583510,-0.308347,1.729277,-0.162580
4,0.099789,0.208148,0.108358,-0.398628,-0.498417
