sharpe,cagr,mdd,trades,positive_folds_vs_A,guard,H,mode,trend_mode,cooldown_bars,trail_mult,fold1,fold2,fold3,fold4
1.4373466601591052,0.44924564288360114,-0.24143665242519186,112,3,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,0,2.7,1.1991181298602587,1.7476746613947671,1.9015148556648707,0.03450461709707322
1.4244645813176968,0.4465651769877146,-0.2697173378941161,103,3,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,0,3.0,1.1125571370368728,1.6858137171144114,1.942140577980527,0.38949408173345096
1.242155634645466,0.37795437506124396,-0.2785586090901002,95,1,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,0,3.3,0.9221355366964282,1.552276066418366,1.6167966218983945,0.37586896916463053
1.388825570142323,0.4235177802909027,-0.24143665242519186,108,1,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,3,2.7,1.0838262260646319,1.9082940626724725,1.6451888016685614,-0.06081109857132593
1.448589762563899,0.44821678209606475,-0.2697173378941168,98,3,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,3,3.0,1.119788918575277,1.8203202210852913,1.673110482535268,0.847953917008188
1.155717674103676,0.3394948914093412,-0.31376698420872395,93,1,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,3,3.3,0.7859100637825596,1.552615269745928,1.41613709994549,0.40536361540799043
1.3789569693090538,0.4086380413873827,-0.24154588493317808,102,3,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,6,2.7,1.1259010561694174,1.6317797635103952,1.74126914334319,0.590156007642623
1.2852865532199702,0.37733897821432727,-0.2730241069200129,97,1,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,6,3.0,0.9999762585890731,1.4964743749054001,1.6946422026463017,0.6643622037030786
0.9774416550846484,0.27021524181152445,-0.28796946059986983,92,0,ema12_net_quote_norm_28_ge0,8,stateful,ema30_120,6,3.3,0.7529637325971517,1.178579091075001,1.331733286037666,0.2141299103333293
1.526192407420711,0.48929918053890686,-0.24143665242519108,108,2,ema12_net_quote_norm_28_ge0,8,stateful,none,0,2.7,1.2632832139110315,1.9934964017948322,1.8107131559095913,0.03450461709707322
1.5022606254396191,0.4821599856157457,-0.26971733789411667,99,3,ema12_net_quote_norm_28_ge0,8,stateful,none,0,3.0,1.1767590907394319,1.9230884041333896,1.8130597828256323,0.38949408173345096
1.294334005980405,0.4016606404184211,-0.2730297495742692,91,2,ema12_net_quote_norm_28_ge0,8,stateful,none,0,3.3,0.9858863709626997,1.7145771112535608,1.4903152989723782,0.37586896916463053
1.4824702036103223,0.46407115880955474,-0.2414366524251913,104,2,ema12_net_quote_norm_28_ge0,8,stateful,none,3,2.7,1.1479994454363303,2.165687215551817,1.55150636865835,-0.06081109857132593
1.533321457231116,0.48591517122501426,-0.26971733789411656,94,3,ema12_net_quote_norm_28_ge0,8,stateful,none,3,3.0,1.1840059569997605,2.0772503150199833,1.5394697863835178,0.847953917008188
1.2402664396658918,0.3743631516566095,-0.2730297495742686,89,2,ema12_net_quote_norm_28_ge0,8,stateful,none,3,3.3,0.8506557559575314,1.8056481225177041,1.289014054640119,0.40536361540799043
1.4493006153826502,0.43877547024030217,-0.24154588493317886,99,3,ema12_net_quote_norm_28_ge0,8,stateful,none,6,2.7,1.191651312582819,1.8260161446215237,1.6460888282211565,0.590156007642623
1.3795072638600943,0.4167258350423919,-0.2730241069200128,93,2,ema12_net_quote_norm_28_ge0,8,stateful,none,6,3.0,1.0655423669713167,1.6894594032406138,1.7099922665787228,0.6643622037030786
1.0678011772235174,0.30490701618207017,-0.27624907415716726,88,0,ema12_net_quote_norm_28_ge0,8,stateful,none,6,3.3,0.8178796117391057,1.3608058934045084,1.3494494314920007,0.2141299103333293
1.4677009738233344,0.4636901276153693,-0.22261421802216574,112,3,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,0,2.7,1.1991181298602587,1.835140877335339,1.897861547496573,0.026820336167380887
1.438518718316956,0.4543191807378337,-0.24242980596412977,103,3,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,0,3.0,1.1076444173781268,1.7525533508512352,1.9017579166505199,0.38949408173345096
1.2786766766340456,0.39350160129454137,-0.26503351164580435,95,2,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,0,3.3,0.9221355366964282,1.6763478437605668,1.578944104955686,0.37586896916463053
1.3964010329264964,0.42808475055678974,-0.2130923925352265,108,1,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,3,2.7,1.0838262260646319,1.966011851415144,1.6422370958649375,-0.2279961071585719
1.461831778261125,0.4555998602637039,-0.24242980596413066,98,2,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,3,3.0,1.1148708278878088,1.8848802539709248,1.6323621848770529,0.847953917008188
1.192814392941548,0.3546081857912107,-0.2966840798895536,93,2,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,3,3.3,0.7859100637825596,1.6783170766508602,1.379040602238603,0.40536361540799043
1.4088039764236298,0.42203829596954234,-0.21320570659369176,101,3,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,6,2.7,1.1259010561694174,1.701020906123305,1.7377448749249027,0.6623613895591832
1.3023010171687324,0.385592129382317,-0.24586013477045332,97,1,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,6,3.0,0.9950109972470658,1.5724280820371477,1.6538211904630526,0.6643622037030786
0.9888918488443085,0.2749856761355194,-0.2952392780882247,92,0,ema12_net_quote_norm_28_ge0,8,oneshot,ema30_120,6,3.3,0.7529637325971517,1.2325114526495797,1.2952577638580538,0.2141299103333293
1.556107806963525,0.5041428748290804,-0.21309239253522527,108,2,ema12_net_quote_norm_28_ge0,8,oneshot,none,0,2.7,1.2632832139110315,2.078688755506464,1.8074873197846555,0.026820336167380887
1.5159711166571477,0.49010478773705235,-0.24242980596412989,99,3,ema12_net_quote_norm_28_ge0,8,oneshot,none,0,3.0,1.1718278506031996,1.9879519178960023,1.7737146759810571,0.38949408173345096
