sharpe,cagr,mdd,trades,positive_folds_vs_A,fold1,fold2,fold3,fold4,trail_mult,peak_anchor,atr_mode,trend_exit,cooldown_bars,trail_confirm_bars
1.4869272766185824,0.4636623717693549,-0.2472503431022257,124,3,1.2411327930607912,1.6701370716390755,2.1640582590925397,0.12936681894233554,2.4,close,current,none,0,1
1.279323818969586,0.3893267947241743,-0.2607183642003458,110,1,1.1049771703267517,1.735235126924148,1.306990798678288,0.15166791550195127,2.4,close,current,none,0,2
1.420251517894794,0.4316081132389842,-0.2472503431022256,122,2,1.0928360163825788,1.7640869641335444,1.9469696631286117,0.10986947912356537,2.4,close,current,none,1,1
1.319210283742908,0.4046004714275666,-0.2607183642003458,108,2,1.1049771703267517,1.7413641443855536,1.4047533983357878,0.35507613162018536,2.4,close,current,none,1,2
1.4988845809366322,0.45980005848473526,-0.25212316541085433,117,3,1.0892779634633243,1.8387162625740758,2.0483145159857092,0.5152481730706665,2.4,close,current,none,3,1
1.2494998790895344,0.37224114609552017,-0.26071836420034544,105,1,1.0367860583575237,1.6335770953251523,1.4259851938033272,0.20908784522064966,2.4,close,current,none,3,2
1.4969014774362162,0.4493453630498261,-0.24997703977746577,112,3,1.1860852596590183,1.804506234474518,1.850942711021186,0.7945355086726686,2.4,close,current,none,6,1
1.1365174828425135,0.32004319332745457,-0.27679207591419264,103,0,0.8574821967874456,1.4904114900292451,1.4032111684502475,0.1843877899445147,2.4,close,current,none,6,2
1.424778666038434,0.43652398878190946,-0.2735621961485659,127,2,1.1768573460424039,1.4965203690875086,2.2591796114782117,0.12936681894233554,2.4,close,current,ema30_120,0,1
1.230778663469521,0.36836341056583266,-0.28807052920091114,113,0,1.0417555189740397,1.595884501735293,1.4116103108581644,0.15166791550195127,2.4,close,current,ema30_120,0,2
1.3572833257640922,0.4050640618140322,-0.2504195691159853,125,1,1.0276418079736565,1.5899819160079285,2.0432082557930458,0.10986947912356537,2.4,close,current,ema30_120,1,1
1.270740546643414,0.38340662460669006,-0.26608819631449243,111,1,1.0417555189740397,1.6019131851190669,1.5101933272043668,0.35507613162018536,2.4,close,current,ema30_120,1,2
1.4357617831290772,0.4327332882811925,-0.2521231654108531,120,3,1.0240369758360794,1.6631911339907326,2.145898962912509,0.5152481730706665,2.4,close,current,ema30_120,3,1
1.2249127517508718,0.361496541778334,-0.2800689570572168,107,0,0.9733951863403858,1.5605019141606113,1.5339408413623725,0.20908784522064966,2.4,close,current,ema30_120,3,2
1.458706999282155,0.43235126948987723,-0.249977039777466,114,4,1.1200460271495876,1.7004182239627001,1.9518148749793869,0.7945355086726686,2.4,close,current,ema30_120,6,1
1.1048100917354438,0.3074960205126409,-0.292728757764393,105,0,0.7901657245031243,1.3985145187704766,1.5117964542476363,0.1843877899445147,2.4,close,current,ema30_120,6,2
1.441946888973113,0.44456572813355355,-0.2472503431022256,126,2,1.1809543223366894,1.598962941556551,2.1640582590925397,0.12936681894233554,2.4,close,current,ema30_120_confirm2,0,1
1.255729331776809,0.3791094404526658,-0.26071836420034566,112,1,1.0457708496086344,1.7166263814986702,1.3207485698983539,0.15166791550195127,2.4,close,current,ema30_120_confirm2,0,2
1.3747485164021054,0.4129296867849388,-0.24725034310222538,124,2,1.0317845403237738,1.6926657815959851,1.9469696631286117,0.10986947912356537,2.4,close,current,ema30_120_confirm2,1,1
1.2956489351018423,0.39427079184390057,-0.26071836420034566,110,2,1.0457708496086344,1.7227630651059933,1.4185767483127685,0.35507613162018536,2.4,close,current,ema30_120_confirm2,1,2
1.445101205581613,0.436637401871651,-0.25212316541085256,119,3,1.0281824112480464,1.7446254333808344,2.0483145159857092,0.5152481730706665,2.4,close,current,ema30_120_confirm2,3,1
1.2462287148817983,0.37064408068509014,-0.26071836420034633,106,1,0.9774152922614178,1.671899875872097,1.4401143255540154,0.20908784522064966,2.4,close,current,ema30_120_confirm2,3,2
1.442132593607382,0.4263485911542726,-0.24997703977746621,114,3,1.1242532588585445,1.7091626541555427,1.850942711021186,0.7945355086726686,2.4,close,current,ema30_120_confirm2,6,1
1.126912053732899,0.3162807440510853,-0.2767920759141933,104,0,0.7944227187516182,1.5119149592518308,1.4174278911438716,0.1843877899445147,2.4,close,current,ema30_120_confirm2,6,2
1.4726391723898762,0.45270617303796756,-0.25684865723967854,129,3,1.2451413713311172,1.6594321437481707,2.1240682320337996,0.12936681894233554,2.4,close,current,d1_close_below_ema21,0,1
1.2773122394212555,0.3837396403973494,-0.26619905919110065,115,1,1.1994484420105866,1.5846854050865602,1.4044683650280643,0.15166791550195127,2.4,close,current,d1_close_below_ema21,0,2
1.4025648862834335,0.4198349989491801,-0.23607793373462915,127,2,1.0964236340940923,1.7467149013890495,1.901757212201027,0.10986947912356537,2.4,close,current,d1_close_below_ema21,1,1
1.3177151288387825,0.39895189426688815,-0.2607183642003458,113,2,1.1994484420105866,1.5907699341858168,1.5040141280291937,0.35507613162018536,2.4,close,current,d1_close_below_ema21,1,2
1.4709084821919296,0.44342490186687256,-0.23996966927509855,122,3,1.092858073678721,1.7905674396381943,2.0057390084434874,0.5152481730706665,2.4,close,current,d1_close_below_ema21,3,1
1.2906914447727837,0.3851632139960586,-0.2607183642003461,109,1,1.1776974824852349,1.555444586729709,1.5281854550675693,0.20908784522064966,2.4,close,current,d1_close_below_ema21,3,2
1.428021754635493,0.41690280563565096,-0.237788667672319,116,3,1.1302480960559165,1.75286461384499,1.7179157065614516,0.7945355086726686,2.4,close,current,d1_close_below_ema21,6,1
1.0582566778074287,0.28810421566718114,-0.2708840240090099,107,0,0.8004957588480156,1.3996809672640083,1.290572847903813,0.1843877899445147,2.4,close,current,d1_close_below_ema21,6,2
1.4363531811283252,0.4409586553778242,-0.2909193903469077,127,2,1.2039922588448344,1.5592904393461475,2.2325341008529045,-0.05429959428384109,2.4,close,lagged,none,0,1
1.311533373499663,0.4015935120805849,-0.2607183642003461,110,1,1.1037070638436797,1.6754484239942413,1.5526994937441505,0.16836218413628326,2.4,close,lagged,none,0,2
1.3668429116746204,0.40854771043490334,-0.29091939034690795,125,2,1.0683038118119739,1.6454175536855924,2.0165157480473836,-0.1242755600107613,2.4,close,lagged,none,1,1
1.3266966450653281,0.40714268520364816,-0.2607183642003461,109,2,1.1037070638436797,1.6815229576668718,1.5357778737446486,0.37209421423014033,2.4,close,lagged,none,1,2
1.4536189466286797,0.438898465118327,-0.2955095270300283,119,3,1.025835522132169,1.719135417595845,2.120883310600603,0.529427195195835,2.4,close,lagged,none,3,1
1.2516040096965206,0.3726023951314197,-0.2607183642003458,106,0,0.9932276721367039,1.5726779912442288,1.6006037484156563,0.2262230100402993,2.4,close,lagged,none,3,2
1.4508857917306228,0.4285934612740423,-0.2934879039597684,114,4,1.1227603206852323,1.6833911296592436,1.9261571014719676,0.811895351996569,2.4,close,lagged,none,6,1
1.1147754242013173,0.31141623819877107,-0.2767920759141925,104,0,0.7997872839322023,1.3838726213526629,1.5616461663062737,0.2017965103957563,2.4,close,lagged,none,6,2
1.3737971359533265,0.4142412315969244,-0.29091939034690906,130,2,1.1392708878771034,1.3843804611497803,2.328058158304091,-0.05429959428384109,2.4,close,lagged,ema30_120,0,1
1.2630427956141448,0.3804450369060173,-0.268834681858795,113,0,1.0405558298106885,1.5354758897216467,1.6591186813991339,0.16836218413628326,2.4,close,lagged,ema30_120,0,2
1.3034406930225084,0.3824312316901086,-0.2909193903469085,128,1,1.0026564309656847,1.4699728052410868,2.1131756837797444,-0.1242755600107613,2.4,close,lagged,ema30_120,1,1
1.2782067513707753,0.38591047922623534,-0.27041297387578744,112,1,1.0405558298106885,1.541448302847854,1.6422395306460755,0.37209421423014033,2.4,close,lagged,ema30_120,1,2
1.3900062095561867,0.41221924019624256,-0.2955095270300274,122,2,0.9598898388257798,1.542233793867203,2.2189125023495104,0.529427195195835,2.4,close,lagged,ema30_120,3,1
1.2269978345468908,0.36185496224582825,-0.28431134913289124,108,0,0.9297711314738321,1.4992344975833807,1.7096060740001924,0.2262230100402993,2.4,close,lagged,ema30_120,3,2
1.4123059854261704,0.41184269119607175,-0.29348790395976865,116,2,1.0559896740442996,1.5780440472791286,2.027523321095325,0.811895351996569,2.4,close,lagged,ema30_120,6,1
1.082937581839731,0.29895106565289864,-0.2968965484754956,106,0,0.7323785571920095,1.2912687657583692,1.6714042892147591,0.2017965103957563,2.4,close,lagged,ema30_120,6,2
1.39113717123268,0.422158230862977,-0.2909193903469083,129,2,1.1433935211012556,1.4876380910342577,2.2325341008529045,-0.05429959428384109,2.4,close,lagged,ema30_120_confirm2,0,1
1.2879625724852137,0.3912859462062659,-0.2607183642003458,112,1,1.0445664582502179,1.656608841750474,1.5665884331496758,0.16836218413628326,2.4,close,lagged,ema30_120_confirm2,0,2
1.3210905099276662,0.3901701568480871,-0.29091939034690917,127,1,1.0068262944825588,1.5735031495734142,2.0165157480473836,-0.1242755600107613,2.4,close,lagged,ema30_120_confirm2,1,1
1.303124820158251,0.3967943097315252,-0.2607183642003458,111,2,1.0445664582502179,1.6626904044609703,1.549678520879015,0.37209421423014033,2.4,close,lagged,ema30_120_confirm2,1,2
1.3994139541296944,0.41606745421726843,-0.2955095270300281,121,3,0.9640749195571012,1.623876707940753,2.120883310600603,0.529427195195835,2.4,close,lagged,ema30_120_confirm2,3,1
1.2483318658445648,0.3710049092858907,-0.26071836420034555,107,1,0.9337915244345851,1.611020561027624,1.6147936431964431,0.2262230100402993,2.4,close,lagged,ema30_120_confirm2,3,2
1.3956707604523229,0.40592595993311664,-0.293487903959769,116,2,1.0602383335019747,1.5868331638918678,1.9261571014719676,0.811895351996569,2.4,close,lagged,ema30_120_confirm2,6,1
1.1051343046552224,0.307678377876192,-0.27679207591419264,105,0,0.7366356406549865,1.405398298261689,1.5759448440271404,0.2017965103957563,2.4,close,lagged,ema30_120_confirm2,6,2
1.41712197549138,0.4284225290050703,-0.27939635867807533,132,2,1.2079251912148012,1.5349644789068297,2.1942236546991234,-0.05429959428384109,2.4,close,lagged,d1_close_below_ema21,0,1
1.331605519131196,0.40489232477689696,-0.2607183642003462,114,1,1.1980430500232342,1.5846854050865602,1.6543954153594438,0.16836218413628326,2.4,close,lagged,d1_close_below_ema21,0,2
1.3468268936918362,0.3962935544713275,-0.27939635867807466,130,2,1.071853960274424,1.6219069855117951,1.9730674395023162,-0.1242755600107613,2.4,close,lagged,d1_close_below_ema21,1,1
1.3469971034104375,0.41045455852174295,-0.2607183642003462,113,2,1.1980430500232342,1.5907699341858168,1.637365325641817,0.37209421423014033,2.4,close,lagged,d1_close_below_ema21,1,2
1.4233225891478172,0.42207470298970895,-0.2840610881361829,124,3,1.0292624423469374,1.66465911363379,2.080190505015008,0.529427195195835,2.4,close,lagged,d1_close_below_ema21,3,1
1.3147448158420894,0.394396406849133,-0.2607183642003458,109,1,1.1336834113414274,1.555444586729709,1.7056339869014485,0.2262230100402993,2.4,close,lagged,d1_close_below_ema21,3,2
1.3793297531125885,0.39594490429225226,-0.2820066123460149,118,2,1.0662934137169038,1.6261206478271526,1.7969613618951217,0.811895351996569,2.4,close,lagged,d1_close_below_ema21,6,1
1.0751349455504016,0.2938247875402744,-0.270884024009009,107,0,0.7427101387088831,1.3996809672640083,1.4563669119317595,0.2017965103957563,2.4,close,lagged,d1_close_below_ema21,6,2
1.438485224577657,0.4122820627414807,-0.2825047410128866,173,2,1.504646063873471,1.323309110019363,2.1071275412183796,0.053607074832148015,2.4,high,current,none,0,1
1.3501342211116085,0.4018795747949486,-0.2249235852621273,145,2,1.2614037636490896,1.8108071105069525,1.6040157870496796,-0.6806712627132392,2.4,high,current,none,0,2
1.2682275136125472,0.34455455777132316,-0.28250474101288536,171,1,1.387183667017031,1.2027046158105785,1.8594968854319516,-0.331842142039,2.4,high,current,none,1,1
