period,baseline_sharpe,cand_sharpe,delta_sharpe,baseline_mdd,cand_mdd,baseline_trades,cand_trades
pre_2021,2.0013629771262513,0.7920733418751821,-1.2092896352510691,-0.3661784239590652,-0.3762992168797674,59,81
post_2021,1.249552698446845,1.569451965784098,0.31989926733725293,-0.2856178360798719,-0.2854740154233181,116,138
