block_len,n_boot,prob_delta_sharpe_gt0,delta_sharpe_p05,delta_sharpe_median,delta_sharpe_p95
12,1000,0.602,-0.37950477770207874,0.06559803795386687,0.5092154919325924
24,1000,0.576,-0.4219741871420599,0.06509111312889315,0.5392967243354673
48,1000,0.561,-0.40006655449550005,0.0350286016241379,0.47520987674568843
72,1000,0.571,-0.3828393714913599,0.04655264743133469,0.4709546202009096
144,1000,0.587,-0.3329920293909782,0.045743461780468064,0.40484132731347333
288,1000,0.583,-0.3238980966986975,0.05186653708836109,0.4205153543351104
