sharpe,cagr,mdd,trades,positive_folds_vs_A,fold1,fold2,fold3,fold4,trail_mult,peak_anchor,atr_mode,trend_exit,cooldown_bars,trail_confirm_bars,time_stop_bars
1.3102931663241983,0.3749127888034318,-0.30239098074238613,181,1,1.121698976485273,1.4173454410007262,1.8657053991921517,0.28718534049108546,2.4,close,current,none,0,1,24
1.6103160021447531,0.49938934783108047,-0.23553455547465807,161,3,1.402842065454581,2.02182962083437,1.9969381183328039,-0.09475924474362686,2.4,close,current,none,0,1,30
1.4707903193373677,0.4411727723460408,-0.24733558995067528,155,3,1.1675257194180568,1.699197748732338,2.1268142038775313,0.23433772501097191,2.4,close,current,none,0,1,36
1.4441803493613607,0.44268163766064994,-0.24725034310222527,140,2,1.1483812962465163,1.5551442686506396,2.301136574209886,0.1251429374821002,2.4,close,current,none,0,1,48
1.468502215567827,0.45050434432651754,-0.2512580250012936,132,3,1.285910736743232,1.6288267783916817,2.0687789374103165,0.12936681894233554,2.4,close,current,none,0,1,60
1.5187157575413492,0.4743858601762314,-0.2472503431022266,129,3,1.2861866912024267,1.7541564281284259,2.1037925620722997,0.12936681894233554,2.4,close,current,none,0,1,72
1.4656431430927603,0.4544402859212755,-0.24725034310222782,127,3,1.2411327930607912,1.6293176738521673,2.1327980371128494,0.12936681894233554,2.4,close,current,none,0,1,96
1.1040291031336933,0.3042952856754588,-0.32377073772614284,173,0,1.0376738121048648,1.3532009988240556,1.2531671523449603,0.07342756609454562,2.4,close,current,none,0,2,24
1.3603761434825765,0.4043433422805831,-0.25412179020193093,153,2,1.2937495152866672,2.0113748035925627,1.1129493732521687,-0.25795705427561605,2.4,close,current,none,0,2,30
1.377976428438556,0.4173655420941227,-0.2721306368335128,145,2,1.2716681063253468,1.837482444750622,1.3425518821166833,0.17577524521889315,2.4,close,current,none,0,2,36
1.1734146969330788,0.34271168486223624,-0.26591742898043047,132,0,0.9129034929577562,1.5953236901852141,1.4591668911853324,-0.13752068885372726,2.4,close,current,none,0,2,48
1.2861915183405788,0.3857397085059946,-0.2646543415906478,120,1,1.0417855299715948,1.6896573466620948,1.5053201738960673,0.15166791550195127,2.4,close,current,none,0,2,60
1.3203021243705353,0.4029601384271808,-0.2607183642003448,117,2,1.1458531316378886,1.8032715993603425,1.320022162141156,0.15166791550195127,2.4,close,current,none,0,2,72
