horizon_bars,mean_fwd_return_after_trend_exit,median,winrate,n
6,0.0011380539028470749,0.0033727150052624832,0.5625,16
12,0.009207402882340641,0.010635205813119275,0.8125,16
24,0.010352537660885043,0.008124116862524233,0.6875,16
48,-0.000256245353507871,0.0002025136285112028,0.5,16
