entry,trail_mult,cooldown,time_stop,atr_mode,full_sharpe,full_cagr,full_mdd,trades,pre,mid,late,min_epoch,plat_mean,plat_min
weak_af_0065,2.8,4,60,lagged,1.6873535387158831,0.6815458726996912,-0.33986062702147823,192,2.199207430501177,1.197001577422735,1.5171178241120664,1.197001577422735,1.5459749295943837,1.333350777517094
weak_f_0065,2.8,3,60,lagged,1.685344430964974,0.6970696389618467,-0.3398050630294229,200,2.1811757065540665,1.388417524891186,1.2172429581057307,1.2172429581057307,1.574943793309163,1.4575389891735817
weak_f_0065,2.8,4,60,lagged,1.6729964056723479,0.6877495335467845,-0.33986062702147823,199,2.1949462936510504,1.3263626176364587,1.2517665132153553,1.2517665132153553,1.550216912475628,1.3841958772393834
orig_vdo,2.8,3,48,lagged,1.6726756949341877,0.6967059604412233,-0.33609165278582187,228,2.333751779819594,1.2323109653080395,1.4974071565850817,1.2323109653080395,1.5321339072876086,1.4352679560280852
orig_vdo,2.8,2,48,lagged,1.670117381725763,0.7000600317499275,-0.34471617705173063,232,2.1991563151563525,1.3169009802204628,1.5048851421696936,1.3169009802204628,1.5390793578306343,1.438081191373865
weak_af_0065,2.8,2,60,lagged,1.6674351850733222,0.6768951903197651,-0.33740311430355785,196,2.2064385975857146,1.1804625514672216,1.4569434355911501,1.1804625514672216,1.5641990081239174,1.434428829555199
weak_af_0065,2.8,3,60,lagged,1.6635427194364438,0.6723091403035544,-0.3398050630294229,194,2.187614910628961,1.160485878295586,1.5042495245689758,1.160485878295586,1.570225800648088,1.4021260780013955
weak_f_0065,2.8,2,60,lagged,1.6634574861114861,0.6876537701842595,-0.33740311430355785,203,2.2299868954520625,1.3124727373907432,1.1850578437593022,1.1850578437593022,1.5657530187003814,1.4472575648429944
weak_f_0065,2.8,2,66,lagged,1.662058390549981,0.6904292749304992,-0.33740311430355785,199,2.1128074980627725,1.4548320839108546,1.305732465247123,1.305732465247123,1.5610003894058369,1.4592076127728264
weak_af_0065,2.7,4,60,lagged,1.6582531186926683,0.6479539850934719,-0.33583326873298947,196,2.097708350139147,1.2281103453809843,1.612710062112635,1.2281103453809843,1.5559022127000037,1.4445533475375973
weak_f_0065,3.0,3,60,current,1.6537220758385027,0.6781558247253772,-0.34022153744933514,190,2.104995849737505,1.3948015598372832,1.1860564827640272,1.1860564827640272,1.5161539467673366,1.3868683540022102
weak_a_0065,2.8,3,48,lagged,1.6526927638088957,0.6634909565974054,-0.33177694599751173,212,2.277847183261379,1.163678137521764,1.59809224675389,1.163678137521764,1.5545737393147774,1.4105934194681962
weak_af_0065,2.7,4,60,current,1.6493124674753443,0.6559824511115848,-0.33785172373602135,194,2.1301551002238943,1.203849318330574,1.5161056201469,1.203849318330574,1.5050158124318604,1.3414956867906191
weak_f_0065,3.0,3,60,lagged,1.6443878977069821,0.6726662360407227,-0.35679986378473016,192,2.075165418873352,1.3720578039543156,1.2325871268707238,1.2325871268707238,1.5467730193178089,1.4575389891735817
weak_f_0065,2.8,0,66,lagged,1.6434098564113977,0.6853210298951038,-0.33740311430355807,204,2.063898355760235,1.4099877848738263,1.380464081897353,1.380464081897353,1.5576442940645723,1.4604901647226642
weak_af_0065,2.9,2,60,lagged,1.642100231820012,0.6650464434871894,-0.3539568690827266,194,2.1767458232896,1.1676916497606036,1.4166621463063123,1.1676916497606036,1.5589804153575781,1.434428829555199
weak_f_0065,2.8,3,66,lagged,1.634099875790928,0.670027029644273,-0.3398050630294229,197,2.066898505960283,1.4518278877092679,1.2591570280737068,1.2591570280737068,1.5563277954104535,1.4217856464752536
weak_a_0065,2.7,6,42,lagged,1.633498617910228,0.6235791308824821,-0.30706239380261335,220,2.1639760392760006,1.1828518766775882,1.703982282963331,1.1828518766775882,1.4388016662773653,1.1577462416409452
orig_vdo,2.8,3,48,current,1.6268270831575724,0.6702550280034056,-0.35220352367659935,227,2.322261640794811,1.1835013163604058,1.4779140405649807,1.1835013163604058,1.4726058498235706,1.3755737507494399
weak_f_0065,2.8,1,66,lagged,1.6248722316125674,0.6709922992409978,-0.33740311430355807,202,2.0674275813472742,1.393728249117926,1.3215811250381349,1.3215811250381349,1.5636401243491453,1.4592076127728264
weak_af_0065,2.7,5,60,lagged,1.6244896949872278,0.6289819436001747,-0.33583326873298935,195,2.041109766482683,1.2119364858584307,1.5837784722045138,1.2119364858584307,1.5347743931916302,1.35288708675785
weak_f_0065,2.7,4,60,current,1.623284575175539,0.6573065581954198,-0.33473344906464275,202,2.1629658858925094,1.3049534235882856,1.193787060615434,1.193787060615434,1.5044469478507168,1.3878438350779283
weak_f_0065,3.1,3,60,lagged,1.6231132650439517,0.6602137644616408,-0.34927580100690914,189,2.053191428893907,1.3755267302400047,1.1675225665087439,1.1675225665087439,1.5299910972521569,1.4355142045540865
weak_f_0065,2.9,2,60,lagged,1.623071740514728,0.6665336172068288,-0.3539568690827266,201,2.2006484519704492,1.2568051024913374,1.156350827683359,1.156350827683359,1.5709467028315667,1.4527535956981381
weak_af_0065,2.7,2,60,lagged,1.6230489517725266,0.6354482999711519,-0.33583326873298924,201,2.1050780382374206,1.1993284860266835,1.5040568281000282,1.1993284860266835,1.5531061744302355,1.4548723475063197
weak_af_0065,2.7,3,60,lagged,1.6193769939041256,0.6317881936476475,-0.33583326873298924,200,2.0899532043229727,1.175737482419483,1.5515036585704807,1.175737482419483,1.5657544576473739,1.4548723475063197
weak_af_0065,3.1,0,60,lagged,1.6181083442986097,0.6573501867130966,-0.39332435206145433,191,2.1230773568448913,1.1902651766776977,1.350532831051739,1.1902651766776977,1.52855738905614,1.4156024868362307
weak_af_0065,2.8,1,60,lagged,1.6179199459541258,0.6521913152254633,-0.33740311430355785,198,2.2076288725319078,1.148347392922217,1.2985021397771308,1.148347392922217,1.5647293549735182,1.434428829555199
weak_f_0065,2.7,2,66,lagged,1.6162294306074152,0.6525175399213476,-0.32736420759465723,205,2.0471568257684742,1.4172317810847865,1.3133227767563083,1.3133227767563083,1.5354664945968082,1.4131177367589998
weak_a_0065,2.8,3,66,lagged,1.615707077023641,0.6704122998455619,-0.3450595806108844,198,2.055411176550039,1.229870865461098,1.5987779361567338,1.229870865461098,1.5604486992720963,1.429036480054325
weak_af_0065,3.0,0,60,lagged,1.615324633814506,0.6554278000319465,-0.39815738784639565,196,2.1035507270417453,1.1858320989273166,1.3756150348746068,1.1858320989273166,1.5387248826832691,1.4184797025380849
orig_vdo,2.8,2,48,current,1.6148045986563906,0.6675759998006232,-0.35549853092863637,232,2.2065029622565175,1.2666450575368198,1.4133536276031695,1.2666450575368198,1.4850661500965563,1.3755737507494399
orig_vdo,2.8,3,66,lagged,1.614654539262052,0.6886752219996608,-0.3643373460496273,209,2.102082283938801,1.2819096444733036,1.4390401301290363,1.2819096444733036,1.51813106587308,1.4244522288850394
