block_len,prob_delta_gt0,p05,median,p95
12,0.9475,-0.005768941111868694,0.22516824396128587,0.452403279082537
24,0.9433333333333334,-0.010665495514230655,0.2273975893715251,0.45739129332187545
48,0.9475,-0.0019869831358255135,0.2228121219594532,0.4510104209338408
72,0.9425,-0.009768581200825386,0.20912359145554615,0.43204417222145525
144,0.9491666666666667,-0.00029327078803063547,0.21832628039549107,0.4345771051209321
288,0.9466666666666667,-0.0041628313472925945,0.22819326211782448,0.44436734809699474
