year,sharpe_base,cagr_base,mdd_base,trades_base,sharpe_winner,cagr_winner,mdd_winner,trades_winner
2018,-1.6181725638303652,-0.34037488125240956,-0.22032924632906714,7,-1.8693172078384275,-0.2849923231390933,-0.19282387065421103,6
2019,1.8886009660949532,1.0870183640789697,-0.38823069441085556,25,1.92647227251292,1.046238375001264,-0.33938943403784005,28
2020,2.945908975015319,2.3976399651853755,-0.22836771349675689,30,3.147821464310992,2.6104141382883723,-0.20102552120012984,33
2021,2.007720894121099,1.5324869849534126,-0.23397525664683105,24,1.7029772586149798,1.1340762160207247,-0.2738350804814581,29
2022,-0.9481799798925968,-0.22897293079409475,-0.321847373660628,19,-0.010854939676572748,-0.019365057635964078,-0.13459332385449962,14
2023,1.512220946858385,0.5492086921769612,-0.30985404587453336,31,2.149710573458764,0.7770607475123941,-0.22115101724725683,31
2024,1.9535263292936678,0.8597622683616253,-0.24195870095950678,29,2.303659127396287,1.0542404918189385,-0.1757452825419098,29
2025,0.45504803465268284,0.0780402485764089,-0.1288925229934984,23,-0.04643368809873382,-0.029917657859963365,-0.1655375546980904,27
2026,-2.140258851198715,-0.32081264369797524,-0.13733221283686592,5,-1.4433567020272273,-0.22497466855996884,-0.11549691941810658,5
