param,value,sharpe
trail_mult,2.4,1.4636070554026708
trail_mult,2.5,1.4514439467705835
trail_mult,2.6,1.4526675056382152
trail_mult,2.7,1.5401215941751714
trail_mult,2.8,1.685344430964974
trail_mult,2.9,1.6035429902834988
trail_mult,3.0,1.6443878977069821
trail_mult,3.1,1.6231132650439517
trail_mult,3.2,1.5704661344644495
cooldown,0,1.597580603982106
cooldown,1,1.5965376607268975
cooldown,2,1.6634574861114861
cooldown,3,1.685344430964974
cooldown,4,1.6729964056723479
cooldown,5,1.6427054665467002
cooldown,6,1.5949612744476689
cooldown,7,1.5936483470057403
cooldown,8,1.561317672017586
time_stop,24,1.295456401391902
time_stop,30,1.3137129520702995
time_stop,36,1.3481316264428103
time_stop,42,1.4535466893777602
time_stop,48,1.5809946339615564
time_stop,54,1.6040277417206914
time_stop,60,1.685344430964974
time_stop,66,1.634099875790928
time_stop,72,1.5287380998304096
time_stop,-1,1.5866333629700409
atr_mode,current,1.575992594246636
atr_mode,lagged,1.685344430964974
trend_exit,none,1.685344430964974
trend_exit,ema,1.6265794422822222
confirm,1,1.685344430964974
confirm,2,1.4304626113525551
