ablation,sharpe,cagr,mdd,trades,avg_hold,d_sharpe,n_suppressed,features_active
all_10,1.029803,55.112831,77.043393,6,2823.666667,-0.341976,15055,10
7_features,1.516885,69.823843,35.874014,148,53.939189,0.145106,605,7
top_4,1.029803,55.112831,77.043393,7,2419.142857,-0.341976,15036,4
ema_only,1.321835,58.695294,44.174609,107,78.757009,-0.049944,1537,1
