fold,e0_sharpe_test,filter_sharpe_test,d_sharpe,win,c,n_samples
1,-0.889635,-1.391446,-0.501812,False,10.000000,80
2,1.193455,2.444977,1.251522,True,10.000000,96
3,1.719573,1.767639,0.048066,True,10.000000,124
4,0.047022,-0.280278,-0.327300,False,10.000000,147
