variant,sharpe,cagr,mdd,trades,avg_hold,d_sharpe,n_suppressed
E0,1.371778,57.716228,39.957135,189,40.777778,0.000000,
X14_static,1.529967,70.670779,35.874014,148,53.912162,0.158188,594
X15_dynamic,1.029803,55.112831,77.043393,6,2823.666667,-0.341976,15055
