strategy,sharpe,cagr,mdd,trades,avg_hold
E0,1.371778,57.716228,39.957135,189,40.777778
E0+FilterD(X15),1.029803,55.112831,77.043393,6,2823.666667
E5,1.469036,62.481585,40.904471,202,37.153465
Oracle,2.162907,120.174319,29.323618,81,100.679012
