variant,sharpe,cagr,mdd,trades,d_sharpe
E0,1.371778,57.716228,39.957135,189,0.000000
E0+Filter,1.029803,55.112831,77.043393,6,-0.341976
E0+Monitor,0.486682,8.108563,24.446316,64,-0.885096
E0+Filter+Monitor,0.323030,4.393901,77.043393,4,-1.048749
