path,d_sharpe,d_cagr,d_mdd
0,0.247703,20.586940,26.633016
1,-0.210934,-3.805266,6.149417
2,0.315806,2.236694,14.291422
3,1.017057,51.790057,-11.473369
4,0.118827,7.551795,12.898868
5,-0.057062,18.848194,46.941459
6,0.358166,32.460185,10.966066
7,0.275017,38.042129,13.735098
8,-0.152261,0.207527,18.613254
9,-0.263180,-7.556589,8.868313
10,0.494399,41.066143,-1.122044
11,0.011822,1.438794,3.104588
12,-0.000756,3.878079,23.304167
13,0.232708,5.206866,4.039592
14,0.340195,24.945373,15.542859
15,-0.180073,0.565992,13.097290
16,0.583736,30.866663,8.795271
17,-0.728043,-22.249313,33.583171
18,0.526186,24.774779,21.731008
19,0.008009,9.739320,18.874783
20,-0.236538,8.218754,33.394732
21,0.012636,10.918088,18.134465
22,-0.257108,-1.402263,14.255329
23,0.404406,59.296689,18.012055
24,-0.025652,-2.805599,8.136735
25,0.322561,20.928153,8.055060
26,-0.073013,-10.670379,6.207750
27,0.852215,26.644512,-0.431561
28,0.254592,8.712688,16.112415
29,-0.191217,-5.693003,16.059375
30,0.125148,8.128885,4.358637
31,0.613796,59.920735,9.687097
32,-0.091466,18.955734,20.949446
33,0.382796,17.159423,-9.570624
34,0.340758,25.178889,-11.780865
35,0.241884,29.958713,3.457886
36,-0.112761,-4.749489,10.759129
37,0.286206,4.792001,5.488339
38,0.679649,30.620044,-3.025851
39,0.723686,22.944917,-1.125336
40,0.636613,56.627003,0.630481
41,0.049509,10.723255,16.615995
42,-0.551673,-22.037324,33.037704
43,0.223080,21.140727,15.563761
44,0.038396,3.710181,9.710891
45,0.485810,25.331618,12.472811
46,0.420646,15.080290,21.597338
47,0.394455,28.464297,18.946832
48,0.381861,8.295891,20.943201
49,-0.058601,10.318589,18.105833
50,0.109768,8.097583,-2.048478
51,0.061535,0.660755,2.940548
52,0.480126,41.063817,18.522601
53,0.341917,33.276803,4.076835
54,0.617018,40.190434,23.161310
55,0.720763,62.661183,8.279221
56,0.234821,13.065808,24.642808
57,0.332774,42.000173,18.444463
58,0.401418,26.511047,10.603139
59,0.603697,58.772311,1.220723
60,0.186695,13.314993,30.202700
61,0.114242,10.192143,0.373960
62,0.067066,-1.001836,6.346055
63,0.233343,14.838199,16.137542
64,0.415969,16.818754,23.636059
65,-0.231448,-1.065582,34.497052
66,0.564170,77.357342,-0.106857
67,0.369210,19.013196,-9.719496
68,0.079199,6.168004,25.612988
69,0.267512,19.648148,4.092184
70,0.430877,17.026513,-7.563683
71,0.174710,31.530268,19.917694
72,-0.528731,-20.976564,46.945818
73,0.084906,33.136769,25.556592
74,0.330830,27.728445,18.482987
75,-0.212848,-8.099658,3.627885
76,0.610396,34.499149,23.675577
77,-0.105276,17.875438,16.450654
78,0.442548,50.857011,15.479862
79,0.339566,30.147001,16.979730
80,0.349217,35.376747,1.588218
81,-0.143643,-5.149707,2.181794
82,0.434502,17.820706,6.114484
83,-0.001940,0.601146,7.033145
84,-0.007107,0.534858,15.968340
85,0.111987,8.506700,6.655419
86,0.294096,17.261965,3.537602
87,0.319978,29.990712,26.148361
88,-0.156438,-11.443012,27.296054
89,0.360674,16.785852,17.826099
90,0.230256,33.110009,5.332955
91,0.147311,6.199830,3.589297
92,0.963679,86.499057,-10.616297
93,0.406311,55.234207,32.056553
94,0.782297,68.588133,9.182680
95,0.168279,1.139133,22.788878
96,-0.054692,0.458835,13.888558
97,0.179007,13.740332,24.940489
98,-0.138226,-6.495195,17.224186
99,0.100498,4.653604,20.935118
100,0.216050,30.637427,26.240648
101,0.420469,36.024565,5.777272
102,0.599199,24.637708,-21.745671
103,-0.346092,-11.639679,14.286012
104,0.115093,10.408554,-5.960518
105,-0.115508,-2.814883,10.846416
106,-0.213367,-6.123565,7.767891
107,0.111020,12.717793,24.044493
108,0.217337,10.807436,-8.239075
109,0.026089,14.464005,30.392835
110,0.351964,7.298017,3.612935
111,0.443254,40.487839,-1.831838
112,0.511332,53.006281,7.144531
113,0.036311,13.498912,19.754668
114,-0.194979,-9.009549,32.364045
115,0.456668,18.874901,2.502616
116,0.388044,72.691351,19.255530
117,0.854285,54.884877,18.629836
118,0.289720,38.817538,20.672609
119,0.678732,50.891049,20.009442
120,0.045300,2.046310,2.819677
121,-0.060540,1.109928,-1.746262
122,0.179135,18.090553,-0.880769
123,0.063179,21.444628,14.981236
124,-0.147650,-5.339977,5.722904
125,0.536009,55.499543,-3.121974
