bar_date,ret,rolling_sharpe_90d,rolling_sharpe_180d,rolling_sharpe_365d
2020-01-01T00:00:00+0000,-0.005841153090954676,,,
2020-01-02T00:00:00+0000,-0.01192133886098301,,,
2020-01-03T00:00:00+0000,-0.00476036781618594,,,
2020-01-04T00:00:00+0000,0.0,,,
2020-01-05T00:00:00+0000,-0.009173274067497683,,,
2020-01-06T00:00:00+0000,0.02787562325238291,,,
2020-01-07T00:00:00+0000,0.04988078206962321,,,
2020-01-08T00:00:00+0000,-0.011195788812067842,,,
2020-01-09T00:00:00+0000,-0.02942125859123612,,,
2020-01-10T00:00:00+0000,0.048750661956012964,,,
2020-01-11T00:00:00+0000,-0.02181400828895752,,,
2020-01-12T00:00:00+0000,0.020568552907040738,,,
2020-01-13T00:00:00+0000,-0.009117932014411911,,,
2020-01-14T00:00:00+0000,0.08683976257468862,,,
2020-01-15T00:00:00+0000,0.0006092137625588467,,,
2020-01-16T00:00:00+0000,-0.011321982628137772,,,
2020-01-17T00:00:00+0000,0.02214640803197221,,,
2020-01-18T00:00:00+0000,0.00020418993253890072,,,
2020-01-19T00:00:00+0000,-0.023933577787773164,,,
2020-01-20T00:00:00+0000,-0.006822789057795431,,,
2020-01-21T00:00:00+0000,0.010840801402396405,,,
2020-01-22T00:00:00+0000,-0.006097728490254362,,,
2020-01-23T00:00:00+0000,-0.03204622487984843,,,
2020-01-24T00:00:00+0000,0.004101364503862115,,,
2020-01-25T00:00:00+0000,-0.011728891727564639,,,
2020-01-26T00:00:00+0000,0.03289924112800824,,,
2020-01-27T00:00:00+0000,0.0340337505035182,,,
2020-01-28T00:00:00+0000,0.05251376076752701,,,
2020-01-29T00:00:00+0000,-0.00786851463520255,,,
2020-01-30T00:00:00+0000,0.02257145836670582,,,
2020-01-31T00:00:00+0000,-0.016801730953622918,,,
2020-02-01T00:00:00+0000,0.0034966867022185877,,,
2020-02-02T00:00:00+0000,-0.0056284838364907275,,,
2020-02-03T00:00:00+0000,-0.0043122340351430255,,,
2020-02-04T00:00:00+0000,-0.010152453626222191,,,
2020-02-05T00:00:00+0000,0.04512439899010756,,,
2020-02-06T00:00:00+0000,0.01664268630039656,,,
2020-02-07T00:00:00+0000,0.004284690953745285,,,
2020-02-08T00:00:00+0000,0.008270947139099816,,,
2020-02-09T00:00:00+0000,0.02594026906409641,,,
2020-02-10T00:00:00+0000,-0.029549672370790203,,,
2020-02-11T00:00:00+0000,0.03769283395623524,,,
2020-02-12T00:00:00+0000,0.010001878103272022,,,
2020-02-13T00:00:00+0000,-0.009447639930152407,,,
2020-02-14T00:00:00+0000,0.011398367974281953,,,
2020-02-15T00:00:00+0000,-0.0425255888232815,,,
2020-02-16T00:00:00+0000,0.0006300192034700558,,,
2020-02-17T00:00:00+0000,-0.02065444418658635,,,
2020-02-18T00:00:00+0000,0.04726766948279426,,,
2020-02-19T00:00:00+0000,-0.05608876926013162,,,
2020-02-20T00:00:00+0000,0.0002668153606435464,,,
2020-02-21T00:00:00+0000,0.00831908440057072,,,
2020-02-22T00:00:00+0000,-0.0027074366671662187,,,
2020-02-23T00:00:00+0000,0.029588067372303906,,,
2020-02-24T00:00:00+0000,-0.02826778310051925,,,
2020-02-25T00:00:00+0000,-0.035113593053507475,,,
2020-02-26T00:00:00+0000,-0.016693013885072494,,,
2020-02-27T00:00:00+0000,0.0,,,
2020-02-28T00:00:00+0000,0.0,,,
2020-02-29T00:00:00+0000,0.0,,,
2020-03-01T00:00:00+0000,0.0,,,
2020-03-02T00:00:00+0000,0.0,,,
2020-03-03T00:00:00+0000,0.0,,,
2020-03-04T00:00:00+0000,0.0,,,
2020-03-05T00:00:00+0000,0.0,,,
2020-03-06T00:00:00+0000,0.0,,,
2020-03-07T00:00:00+0000,0.0,,,
2020-03-08T00:00:00+0000,0.0,,,
2020-03-09T00:00:00+0000,0.0,,,
2020-03-10T00:00:00+0000,0.0,,,
2020-03-11T00:00:00+0000,0.0,,,
2020-03-12T00:00:00+0000,0.0,,,
2020-03-13T00:00:00+0000,0.0,,,
2020-03-14T00:00:00+0000,0.0,,,
2020-03-15T00:00:00+0000,0.0,,,
2020-03-16T00:00:00+0000,0.0,,,
2020-03-17T00:00:00+0000,0.0,,,
2020-03-18T00:00:00+0000,0.0,,,
2020-03-19T00:00:00+0000,0.0,,,
2020-03-20T00:00:00+0000,0.0,,,
2020-03-21T00:00:00+0000,0.0,,,
2020-03-22T00:00:00+0000,0.0,,,
2020-03-23T00:00:00+0000,0.0,,,
2020-03-24T00:00:00+0000,0.0,,,
2020-03-25T00:00:00+0000,0.0,,,
2020-03-26T00:00:00+0000,0.0,,,
2020-03-27T00:00:00+0000,0.0,,,
2020-03-28T00:00:00+0000,0.0,,,
2020-03-29T00:00:00+0000,0.0,,,
2020-03-30T00:00:00+0000,0.0,1.8147322375349728,,
2020-03-31T00:00:00+0000,0.0,1.8744078970158484,,
2020-04-01T00:00:00+0000,0.0,1.9983404348519467,,
2020-04-02T00:00:00+0000,0.0,2.0471476551043546,,
2020-04-03T00:00:00+0000,0.0,2.0471476551043546,,
2020-04-04T00:00:00+0000,0.0,2.1424800442839724,,
2020-04-05T00:00:00+0000,0.0,1.8781594338986147,,
2020-04-06T00:00:00+0000,0.0,1.4157214464864285,,
2020-04-07T00:00:00+0000,0.0,1.5358799730015409,,
2020-04-08T00:00:00+0000,0.0,1.8684145595748831,,
2020-04-09T00:00:00+0000,0.012855734351401749,1.533462408872152,,
2020-04-10T00:00:00+0000,-0.05829857459422205,1.087212123696852,,
2020-04-11T00:00:00+0000,0.0026126562199297876,0.9040535184869172,,
2020-04-12T00:00:00+0000,0.0039189511461659166,1.0425024992817138,,
2020-04-13T00:00:00+0000,-0.009523754343628621,0.03121881049693903,,
2020-04-14T00:00:00+0000,0.004464729659376054,0.0766643311205652,,
2020-04-15T00:00:00+0000,-0.03600749500987821,-0.2101720781279785,,
2020-04-16T00:00:00+0000,0.07260562582593932,0.3465375436679336,,
2020-04-17T00:00:00+0000,-0.010589989566304747,0.23025278737280805,,
2020-04-18T00:00:00+0000,0.03156780203734866,0.8208794510955987,,
2020-04-19T00:00:00+0000,-0.017548216207267875,0.703741183029298,,
