bucket,timeframe,feature_name,feature_key,param,family,tail,calibration_mode,threshold_param,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,mean_hold_bars,median_hold_bars,positive_fold_share,min_fold_cagr,thresholds_json,feature_key_str,param_str,formula,config_id
native_d1,D1,weekday,"('weekday', None)",None,calendar_effect,category,category,1,0.53554544995764,0.12198567136755734,-0.3306959342615148,157,0.14324817518248176,0.412525011144635,1.0,1.0,0.6666666666666666,-0.40467354055731863,"[1, 1, 1, 1, 1, 1]","('weekday', None)",None,bar weekday category,696
native_d1,D1,close_in_bar,"('close_in_bar', 10)",10,candle_structure,upper,fixed_level,0.65,0.9799132419270739,0.23482072875582394,-0.29562247653080964,38,0.13138686131386862,0.8831045528827142,3.789473684210526,2.0,0.5,-0.22067771764739008,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65]","('close_in_bar', 10)",10,"rolling_mean((close - low) / (high - low), L)",670
native_d1,D1,ret,"('ret', 40)",40,directional_persistence,upper,fixed_zero,None,1.5567360768011949,0.9078491350997029,-0.4831064432096537,29,0.5246350364963503,5.94742889214517,19.82758620689655,4.0,0.6666666666666666,-0.3888530395484916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('ret', 40)",40,close / close.shift(L) - 1,225
native_d1,D1,drawdown,"('drawdown', 40)",40,drawdown_pullback,upper,train_quantile,0.65,1.5291420071940116,0.7223162190815382,-0.40826773527257676,40,0.3905109489051095,4.1109341391994665,10.7,6.5,0.6666666666666666,-0.3829585059802645,"[-0.08515470454734944, -0.0704237654890215, -0.05343868398465148, -0.056425488393291194, -0.056251048172189275, -0.0632987002297257]","('drawdown', 40)",40,"close / rolling_max(close, L) - 1",274
native_d1,D1,range_loc,"('range_loc', 40)",40,location_within_range,upper,fixed_level,0.65,1.5446265528724998,0.8076088937255381,-0.456816474308572,26,0.4251824817518248,4.908665259324623,17.923076923076923,13.0,0.6666666666666666,-0.40565397611739795,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65]","('range_loc', 40)",40,(close - rolling_low(L)) / (rolling_high(L) - rolling_low(L)),264
native_d1,D1,flow_impulse,"('flow_impulse', 10)",10,participation_flow,lower,train_quantile,0.2,1.1790656024595658,0.4678045000406179,-0.3594067359577292,34,0.28375912408759124,2.1631422473484476,9.147058823529411,5.0,0.5,-0.43809790268478876,"[-0.015199568933072526, -0.024981546614625646, -0.031923933702050364, -0.03074191738272139, -0.03046631624663018, -0.030514728659807762]","('flow_impulse', 10)",10,"rolling_mean((2*taker_share_raw - 1) * (volume / rolling_mean(volume, L)), L)",448
native_d1,D1,trend_quality,"('trend_quality', 40)",40,trend_quality,upper,fixed_zero,None,1.5567360768011949,0.9078491350997029,-0.4831064432096537,29,0.5246350364963503,5.94742889214517,19.82758620689655,4.0,0.6666666666666666,-0.3888530395484916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('trend_quality', 40)",40,"(close / close.shift(L) - 1) / (rolling_std(log_close_ret, L) * sqrt(L))",249
native_d1,D1,vol_cluster,"('vol_cluster', (5, 20))","(5, 20)",volatility_clustering,lower,train_quantile,0.65,1.334188156047845,0.8122048807733615,-0.5287867659508969,110,0.6167883211678832,4.953860029334649,6.1454545454545455,4.0,0.8333333333333334,-0.47946468130144404,"[1.000573975937665, 1.0069969635210918, 1.0086476263111912, 1.031952998381425, 1.0327378441083332, 1.0333558167800911]","('vol_cluster', (5, 20))","(5, 20)","rolling_std(log_close_ret, short) / rolling_std(log_close_ret, long)",545
native_d1,D1,atr_pct,"('atr_pct', 10)",10,volatility_level,upper,train_quantile,0.5,1.2917395954995579,0.7230251248069475,-0.4635985847985268,43,0.416970802919708,4.117249163284448,10.627906976744185,3.0,0.8333333333333334,-0.023488133599349648,"[0.05458289504180855, 0.052488625979271473, 0.05018134439328003, 0.05360748044598052, 0.053229724215422144, 0.0528439510527879]","('atr_pct', 10)",10,"rolling_mean(true_range, L) / close",417
native_h4,H4,weekday,"('weekday', None)",None,calendar_effect,category,category,"(0, 1, 2, 3, 4)",0.7596716589276195,0.31862551898109515,-0.7103899958195106,157,0.7145247148288973,1.2932248933314816,29.923566878980893,30.0,0.6666666666666666,-0.7395766154313225,"[[0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4], [0, 1, 2, 3, 4]]","('weekday', None)",None,bar weekday category,1423
native_h4,H4,close_in_bar,"('close_in_bar', 6)",6,candle_structure,lower,fixed_level,0.35,0.9671052938176135,0.15197134646290822,-0.14988359122122918,141,0.03923954372623574,0.5288577706371236,1.8297872340425532,1.0,0.5,-0.05091316712043448,"[0.35, 0.35, 0.35, 0.35, 0.35, 0.35]","('close_in_bar', 6)",6,"rolling_mean((close - low) / (high - low), L)",1366
native_h4,H4,ret,"('ret', 168)",168,directional_persistence,upper,train_quantile,0.5,1.6331171800543698,0.9505777942283655,-0.4332088107690185,94,0.4932319391634981,6.424862806867966,34.5,3.0,0.6666666666666666,-0.5305489073618057,"[0.0019695180515317823, 0.01390796459618815, 0.029851556264964163, 0.032986145776737086, 0.03201417290682884, 0.0161039579092086]","('ret', 168)",168,close / close.shift(L) - 1,988
