entry_idx,exit_idx,entry_time,exit_time,entry_open,exit_open,trade_return,holding_bars,holding_days
1,3.0,2020-01-01T04:00:00,2020-01-01T12:00:00,7225.0,7197.2,-0.00583905921107275,2,0.3333333333333333
6,7.0,2020-01-02T00:00:00,2020-01-02T04:00:00,7200.77,7129.25,-0.01191141652212202,1,0.16666666666666666
15,16.0,2020-01-03T12:00:00,2020-01-03T16:00:00,7340.46,7320.17,-0.0047576064483697555,1,0.16666666666666666
25,27.0,2020-01-05T04:00:00,2020-01-05T12:00:00,7476.0,7422.27,-0.00917163158507217,2,0.3333333333333333
31,336.0,2020-01-06T04:00:00,2020-02-26T04:00:00,7540.9,9170.13,0.2136215717129255,305,51.0
596,888.0,2020-04-09T12:00:00,2020-05-28T04:00:00,7184.0,9171.6,0.27411831453229407,292,48.666666666666664
890,934.0,2020-05-28T12:00:00,2020-06-04T20:00:00,9267.22,9817.65,0.057277642879957735,44,7.333333333333333
943,945.0,2020-06-06T08:00:00,2020-06-06T16:00:00,9609.85,9651.59,0.0023357775188996843,2,0.3333333333333333
947,975.0,2020-06-07T00:00:00,2020-06-11T16:00:00,9666.85,9521.54,-0.01700073534398483,28,4.666666666666667
982,986.0,2020-06-12T20:00:00,2020-06-13T12:00:00,9431.11,9405.13,-0.004748206188879167,4,0.6666666666666666
987,990.0,2020-06-13T16:00:00,2020-06-14T04:00:00,9437.42,9434.81,-0.0022750057950159386,3,0.5
1002,1003.0,2020-06-16T04:00:00,2020-06-16T08:00:00,9562.52,9504.1,-0.008096055840929095,1,0.16666666666666666
1016,1056.0,2020-06-18T12:00:00,2020-06-25T04:00:00,9432.67,9100.13,-0.03718259621825004,40,6.666666666666667
1057,1058.0,2020-06-25T08:00:00,2020-06-25T12:00:00,9173.7,9255.79,0.006931518993426922,1,0.16666666666666666
1164,1167.0,2020-07-13T04:00:00,2020-07-13T16:00:00,9271.99,9290.38,-1.9571809288132513e-05,3,0.5
1220,1447.0,2020-07-22T12:00:00,2020-08-29T08:00:00,9344.69,11558.28,0.2344095949978009,227,37.833333333333336
1453,1472.0,2020-08-30T08:00:00,2020-09-02T12:00:00,11592.9,11406.01,-0.018087848078565227,19,3.1666666666666665
1647,1648.0,2020-10-01T16:00:00,2020-10-01T20:00:00,10716.23,10617.74,-0.011171359914820878,1,0.16666666666666666
1649,1654.0,2020-10-02T00:00:00,2020-10-02T20:00:00,10619.13,10515.04,-0.011781526825643818,5,0.8333333333333334
1655,2377.0,2020-10-03T00:00:00,2021-01-31T08:00:00,10570.4,33607.68,2.1730585642624693,722,120.33333333333333
2380,2402.0,2021-01-31T20:00:00,2021-02-04T12:00:00,32807.29,37319.43,0.13526074416478773,22,3.6666666666666665
2415,2416.0,2021-02-06T16:00:00,2021-02-06T20:00:00,40865.12,40179.42,-0.018745048603307723,1,0.16666666666666666
2422,2672.0,2021-02-07T20:00:00,2021-03-21T12:00:00,38050.0,56270.13,0.47589082812430994,250,41.666666666666664
2676,2681.0,2021-03-22T04:00:00,2021-03-23T00:00:00,57564.17,54083.25,-0.062348374288207276,5,0.8333333333333334
2682,2776.0,2021-03-23T04:00:00,2021-04-07T20:00:00,54683.6,56153.84,0.02483356022354055,94,15.666666666666666
2777,2794.0,2021-04-08T00:00:00,2021-04-10T20:00:00,55953.44,59567.38,0.06246023135271028,17,2.8333333333333335
2801,2802.0,2021-04-12T00:00:00,2021-04-12T04:00:00,59998.8,60368.95,0.004157957641652832,1,0.16666666666666666
2803,2838.0,2021-04-12T08:00:00,2021-04-18T04:00:00,60711.0,55000.01,-0.09587941262687161,35,5.833333333333333
2848,2857.0,2021-04-19T20:00:00,2021-04-21T08:00:00,55930.94,55304.04,-0.013185059574539637,9,1.5
2860,2868.0,2021-04-21T20:00:00,2021-04-23T04:00:00,55478.7,50298.76,-0.09518044260662195,8,1.3333333333333333
2921,2922.0,2021-05-02T00:00:00,2021-05-02T04:00:00,57797.35,56450.19,-0.02526074170891912,1,0.16666666666666666
2928,2931.0,2021-05-03T04:00:00,2021-05-03T16:00:00,57925.79,57603.33,-0.007554649779830225,3,0.5
2943,2947.0,2021-05-05T16:00:00,2021-05-06T08:00:00,57635.89,56814.79,-0.016216853165796574,4,0.6666666666666666
2948,2949.0,2021-05-06T12:00:00,2021-05-06T16:00:00,57988.0,57088.48,-0.017480166095054095,1,0.16666666666666666
3194,3196.0,2021-06-16T12:00:00,2021-06-16T20:00:00,39080.01,38680.1,-0.012211652962729636,2,0.3333333333333333
3197,3199.0,2021-06-17T00:00:00,2021-06-17T08:00:00,38349.0,39208.67,0.020373200570288796,2,0.3333333333333333
3219,3222.0,2021-06-20T16:00:00,2021-06-21T04:00:00,34422.11,34651.86,0.00466214685444899,3,0.5
3273,3275.0,2021-06-29T16:00:00,2021-06-30T00:00:00,36248.99,35911.72,-0.0112846600216997,2,0.3333333333333333
3311,3320.0,2021-07-06T00:00:00,2021-07-07T12:00:00,33690.15,34827.97,0.03170656372767722,9,1.5
3418,3697.0,2021-07-23T20:00:00,2021-09-08T08:00:00,32248.64,45075.72,0.39496157468097914,279,46.5
3698,3699.0,2021-09-08T12:00:00,2021-09-08T16:00:00,46394.82,46082.9,-0.008708724747719665,1,0.16666666666666666
3701,3711.0,2021-09-09T00:00:00,2021-09-10T16:00:00,46048.31,45420.86,-0.015597669038016737,10,1.6666666666666667
3722,3723.0,2021-09-12T12:00:00,2021-09-12T16:00:00,46085.91,45890.61,-0.0062282665003251525,1,0.16666666666666666
3735,3753.0,2021-09-14T16:00:00,2021-09-17T16:00:00,46754.43,47527.52,0.014503063934690363,18,3.0
3861,4110.0,2021-10-05T16:00:00,2021-11-16T04:00:00,49793.57,60907.4,0.22075292266451285,249,41.5
4388,4389.0,2022-01-01T12:00:00,2022-01-01T16:00:00,46758.87,47219.04,0.007822668491347162,1,0.16666666666666666
4595,4596.0,2022-02-05T00:00:00,2022-02-05T04:00:00,41571.7,41447.85,-0.004972234769085704,1,0.16666666666666666
4599,4601.0,2022-02-05T16:00:00,2022-02-06T00:00:00,41761.87,41382.6,-0.011062574961322569,2,0.3333333333333333
4607,4636.0,2022-02-07T00:00:00,2022-02-11T20:00:00,42380.87,42742.63,0.006519863387183689,29,4.833333333333333
4653,4654.0,2022-02-14T16:00:00,2022-02-14T20:00:00,42584.97,42119.31,-0.012911985160257267,1,0.16666666666666666
4655,4671.0,2022-02-15T00:00:00,2022-02-17T16:00:00,42535.94,41925.44,-0.016322877890085352,16,2.6666666666666665
4674,4710.0,2022-02-18T04:00:00,2022-02-24T04:00:00,40691.97,34936.9,-0.14314639628162507,36,6.0
4714,4733.0,2022-02-24T20:00:00,2022-02-28T00:00:00,37300.0,37699.08,0.008678808018230733,19,3.1666666666666665
4734,4762.0,2022-02-28T04:00:00,2022-03-04T20:00:00,37793.8,39782.13,0.050505784603030124,28,4.666666666666667
4841,4842.0,2022-03-18T00:00:00,2022-03-18T04:00:00,40917.89,40522.18,-0.011650499031597206,1,0.16666666666666666
4844,4991.0,2022-03-18T12:00:00,2022-04-12T00:00:00,40390.4,39530.45,-0.023247389715130407,147,24.5
4992,4996.0,2022-04-12T04:00:00,2022-04-12T20:00:00,39747.14,39303.1,-0.013148289333521745,4,0.6666666666666666
4997,5000.0,2022-04-13T00:00:00,2022-04-13T12:00:00,40074.95,39722.63,-0.0107729526142889,3,0.5
5001,5007.0,2022-04-13T16:00:00,2022-04-14T16:00:00,41158.18,39964.01,-0.03095516021335243,6,1.0
5042,5043.0,2022-04-20T12:00:00,2022-04-20T16:00:00,42090.01,41261.72,-0.021638678115780907,1,0.16666666666666666
5326,5328.0,2022-06-06T20:00:00,2022-06-07T04:00:00,31470.72,29563.61,-0.06247736487725741,2,0.3333333333333333
5333,5334.0,2022-06-08T00:00:00,2022-06-08T04:00:00,31125.32,30026.71,-0.037224786549664435,1,0.16666666666666666
5338,5346.0,2022-06-08T20:00:00,2022-06-10T04:00:00,30140.14,30114.38,-0.0028519657048704516,8,1.3333333333333333
5555,5557.0,2022-07-15T00:00:00,2022-07-15T08:00:00,20588.84,20835.38,0.009951511371208976,2,0.3333333333333333
5559,5757.0,2022-07-15T16:00:00,2022-08-17T16:00:00,20792.19,23391.9,0.12278406420391508,198,33.0
5759,5766.0,2022-08-18T00:00:00,2022-08-19T04:00:00,23342.66,22768.97,-0.026526761347250072,7,1.1666666666666667
5789,5797.0,2022-08-23T00:00:00,2022-08-24T08:00:00,21400.75,21319.27,-0.00579873232153072,8,1.3333333333333333
5798,5800.0,2022-08-24T12:00:00,2022-08-24T20:00:00,21439.84,21709.32,0.010544997971999592,2,0.3333333333333333
6003,6004.0,2022-09-27T16:00:00,2022-09-27T20:00:00,19887.78,19077.59,-0.04265564594992499,1,0.16666666666666666
