candidate,days,sharpe_daily,cagr,max_drawdown,trade_count,exposure,gross_return,net_return,daily_mean,daily_std,win_rate,mean_trade_return,median_trade_return,mean_holding_days,median_holding_days,top_winner_concentration,bottom_tail_damage,open_trade_count,fold_idx,fold_start,fold_end
S1_D1_RET40_Z0,182,2.3603997732440374,1.9118846625030401,-0.16759817948148514,4,0.6538461538461539,0.7169446063652811,0.703306523384613,0.0032744829300579083,0.026503522516982885,0.75,0.15258390154366902,0.11273367283226221,29.75,29.5,1.0,-0.004903011133205792,0,0,2020-01-01T00:00:00+0000,2020-06-30T00:00:00+0000
S1_D1_RET40_Z0,184,3.9682793010347894,6.060998748772315,-0.18881169165346734,5,0.7228260869565217,1.7010896906337143,1.6768785142406433,0.005741912854658887,0.02764399447141102,0.5,0.017344953651989792,0.006183235911114693,13.25,3.0,1.0,-0.02353690073823178,1,1,2020-07-01T00:00:00+0000,2020-12-31T00:00:00+0000
S1_D1_RET40_Z0,181,2.2372387795719226,2.7918530514365365,-0.2519225386675915,2,0.6519337016574586,0.9415707333903125,0.9357551998710734,0.00431854264032142,0.036878335048459485,1.0,0.46350394014444607,0.46350394014444607,59.0,59.0,1.0,0.007403413175324669,0,2,2021-01-01T00:00:00+0000,2021-06-30T00:00:00+0000
S1_D1_RET40_Z0,184,1.1755464715578676,0.571508252798262,-0.18403789603199017,3,0.5760869565217391,0.26325883910273506,0.25573319803563077,0.0015581712871187666,0.0253233890467098,0.6666666666666666,0.08120351265500951,0.08804709113732767,35.333333333333336,50.0,1.0,-0.008988149402880619,0,3,2021-07-01T00:00:00+0000,2021-12-31T00:00:00+0000
S1_D1_RET40_Z0,181,-1.540674925996346,-0.3888530395484916,-0.23392816840197295,7,0.2430939226519337,-0.20549038570175138,-0.2165265792672123,-0.0012303930377722558,0.015257356100334773,0.2857142857142857,-0.03264235546264201,-0.01040667221585223,6.285714285714286,4.0,1.0,-0.12646355242469887,0,4,2022-01-01T00:00:00+0000,2022-06-30T00:00:00+0000
S1_D1_RET40_Z0,184,-1.2802147971856535,-0.3577429231306365,-0.26074635568236515,9,0.29891304347826086,-0.18627232360440305,-0.19992525697593722,-0.0010791814475568688,0.01610490103017323,0.125,-0.02640905742566424,-0.022839397778123438,6.75,3.0,1.0,-0.07822653768062371,1,5,2022-07-01T00:00:00+0000,2022-12-31T00:00:00+0000
S2_D1_VCL5_20_LT1.0,182,3.161296689454865,4.3743304735784445,-0.16298782063035733,17,0.6263736263736264,1.3889772664643938,1.3115989292125727,0.005069258577701535,0.03063554568125946,0.8125,0.05637837220080131,0.04626848092990932,6.9375,4.0,0.7027659726330334,-0.08460399596792173,1,0,2020-01-01T00:00:00+0000,2020-06-30T00:00:00+0000
S2_D1_VCL5_20_LT1.0,184,2.688565894176321,1.8507913731123384,-0.15855023334599572,22,0.625,0.767823291696351,0.6951005146249623,0.0031109484477624375,0.02210642735989014,0.6190476190476191,0.023578594979333907,0.01531084808276506,5.333333333333333,3.0,0.7275038264107224,-0.043493184050081846,1,1,2020-07-01T00:00:00+0000,2020-12-31T00:00:00+0000
S2_D1_VCL5_20_LT1.0,181,1.1981244701288973,0.8524852166495378,-0.3411224482047265,20,0.48066298342541436,0.4111253438285414,0.3573321392066948,0.0024339503246369344,0.0388111225667194,0.65,0.02188428681453113,0.025858792150370458,4.35,3.0,0.7463593228414042,-0.1593267785094321,0,2,2021-01-01T00:00:00+0000,2021-06-30T00:00:00+0000
S2_D1_VCL5_20_LT1.0,184,1.3356866965511998,0.8350142551531192,-0.3015323502983547,22,0.625,0.41725422767217535,0.357726215759923,0.0021235361437114764,0.03037396506645874,0.5238095238095238,0.01920670835759368,0.0020885340834670973,4.857142857142857,4.0,0.7742031153426002,-0.09716551960681045,1,3,2021-07-01T00:00:00+0000,2021-12-31T00:00:00+0000
