family,lookback,mode,thr,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,positive_fold_share,min_fold_cagr,thresholds
h4_ret,168,train_quantile,0.5,1.6331171800543698,0.9505777942283655,-0.4332088107690185,94,0.4932319391634981,6.424862806867966,0.6666666666666666,-0.5305489073618057,"[0.0019695180515317823, 0.01390796459618815, 0.029851556264964163, 0.032986145776737086, 0.03201417290682884, 0.0161039579092086]"
h4_ret,168,fixed_zero,,1.632221969486569,0.9841974916815954,-0.43553174302890774,82,0.5341444866920152,6.815528922901199,0.6666666666666666,-0.502286695917247,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
h4_ret,168,train_quantile,0.65,1.5758878673046315,0.7546162280539492,-0.28750490071065526,64,0.3473764258555133,4.403977831528649,0.6666666666666666,-0.10013573291242961,"[0.07626029677033981, 0.10317314916675423, 0.12512510462260445, 0.13378271520185633, 0.1364332735524037, 0.11442421604498162]"
h4_ret,202,fixed_zero,,1.5462868306955655,0.8958378911039855,-0.3971583095356549,72,0.5304942965779468,5.817007026683736,0.6666666666666666,-0.3388421413492231,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
h4_ret,202,train_quantile,0.5,1.5009426979150406,0.8242127666111709,-0.5058254487816807,80,0.49186311787072245,5.073026396125213,0.6666666666666666,-0.4386950211868683,"[-0.0011442799071785803, 0.012402521636209585, 0.026950998185117925, 0.03505868281557678, 0.03650782301533262, 0.016641129032258117]"
h4_ret,202,train_quantile,0.65,1.4779892673165016,0.7079859707582956,-0.27433376245471286,73,0.35863117870722433,3.9843900932832153,0.6666666666666666,-0.3550081208453424,"[0.08355679645107655, 0.11092466296792163, 0.14963558675776653, 0.17574857442435016, 0.1801268795277119, 0.13759669395608304]"
h4_ret,202,train_quantile,0.35,1.2204614690292857,0.6563538782475637,-0.5087028887913845,77,0.6320912547528517,3.545790208975645,0.6666666666666666,-0.4593360932469809,"[-0.08156733739677124, -0.06366558976660847, -0.0454173198838551, -0.04345958542112672, -0.045318149140140346, -0.0651105864639605]"
h4_ret,168,train_quantile,0.35,1.179488552628345,0.6168890857031242,-0.494759098269245,91,0.6447148288973384,3.2284726147350513,0.6666666666666666,-0.427858511734415,"[-0.0719888335829441, -0.056417599393203545, -0.04045818067176818, -0.03852359710509093, -0.0425640609070744, -0.05703144779968348]"
h4_ret,134,fixed_zero,,1.0824884831224828,0.5088220974096074,-0.5447985387603775,126,0.5466159695817491,2.4358672728034523,0.6666666666666666,-0.5185921343859357,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
h4_ret,134,train_quantile,0.5,1.0513441966346455,0.4695805480395303,-0.5625309288494531,127,0.5041825095057034,2.1746410099454394,0.6666666666666666,-0.5273572637283805,"[-0.0015619244096088392, 0.01172496205148077, 0.022225611645209975, 0.02303056617243393, 0.022487317359495274, 0.012474904448585677]"
h4_ret,134,train_quantile,0.65,0.990412329441343,0.3714880585847584,-0.45318416795438266,93,0.32653992395437265,1.5802987655698986,0.5,-0.44244521859490027,"[0.06579236373923995, 0.09036132723250874, 0.10848866758638097, 0.1095974123601024, 0.10884358893320246, 0.08841778077234286]"
h4_ret,134,train_quantile,0.35,0.9173918133602375,0.4144960854577968,-0.6681640706127943,93,0.6649429657794677,1.8307944209217708,0.5,-0.5734906538431644,"[-0.06368059817151792, -0.051026559113796534, -0.03446932121806549, -0.03425016256206986, -0.036414959769949753, -0.048948171350549116]"
