family,lookback,mode,thr,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,positive_fold_share,min_fold_cagr,thresholds
d1_ret,40,train_quantile,0.65,1.7215901095204147,0.8847499340157583,-0.2519225386675915,17,0.3494525547445255,5.698068909825231,0.6666666666666666,-0.07831005240323508,"[0.09005425639339217, 0.12269875225508188, 0.18973592075606258, 0.21298203712054448, 0.21339781441964809, 0.16485992899932606]"
d1_ret,40,fixed_zero,,1.5567360768011949,0.9078491350997029,-0.4831064432096537,29,0.5246350364963503,5.94742889214517,0.6666666666666666,-0.3888530395484916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
d1_ret,32,train_quantile,0.5,1.5103842147775444,0.824360033595722,-0.5332772082926746,34,0.4908759124087591,5.074497659668061,0.6666666666666666,-0.4754306372727287,"[0.00011358939327488216, 0.013166103574754784, 0.027136130443128792, 0.03718702299303278, 0.03649026293804347, 0.017340735883057956]"
d1_ret,32,train_quantile,0.65,1.4697695036249234,0.6597138502299709,-0.25192253866759196,30,0.3604014598540146,3.5735165927833963,0.8333333333333334,-0.2168967064609434,"[0.08121181737815453, 0.11022050084314228, 0.14084824709964394, 0.15340614810354802, 0.1577212780626196, 0.1242544992424623]"
d1_ret,32,fixed_zero,,1.4617593958974378,0.8248997877050588,-0.4728468885793746,36,0.5364963503649635,5.079892078145778,0.6666666666666666,-0.44621406731200564,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
d1_ret,40,train_quantile,0.5,1.4455118175023394,0.7856246701084462,-0.5294518613131733,33,0.48266423357664234,4.695644486334663,0.6666666666666666,-0.5890961739077223,"[-0.0057772474144789365, 0.01600704458148572, 0.038270159750860566, 0.0442617916408895, 0.046949241664582364, 0.024463583473855355]"
d1_ret,48,train_quantile,0.65,1.1293046794432022,0.47180336249666976,-0.37271254083869476,17,0.3448905109489051,2.189071521306699,0.5,-0.27282698645028114,"[0.09296778402418936, 0.13023780999986223, 0.18390958493613155, 0.22145240591299387, 0.22646249857032685, 0.17531719686420266]"
d1_ret,32,train_quantile,0.35,1.0614066156688,0.5318959914956036,-0.5767600845156982,31,0.6359489051094891,2.595958092441584,0.6666666666666666,-0.5598616187477057,"[-0.07605479630789005, -0.060205760234808295, -0.04539709443099271, -0.040810497308904285, -0.045408972966555494, -0.06338860697216447]"
d1_ret,40,train_quantile,0.35,0.97831734952591,0.4597643933265312,-0.6535286600642963,32,0.625,2.1114350789959557,0.6666666666666666,-0.6051694753694168,"[-0.08160516936091318, -0.07085444950015699, -0.05367871179280179, -0.051851665901484004, -0.05224546970761779, -0.06848019586671357]"
d1_ret,48,train_quantile,0.5,0.9335849097501453,0.39563357241637154,-0.4672874900999251,29,0.4854014598540146,1.7190257131112023,0.6666666666666666,-0.5022590474015629,"[-0.0009707348641783131, 0.01586396926832756, 0.03727406887885576, 0.04583592617043364, 0.05321565522549776, 0.03177531339664519]"
d1_ret,48,fixed_zero,,0.8968568003959225,0.3841739067366867,-0.5442397449410594,27,0.5237226277372263,1.6525807515245332,0.6666666666666666,-0.5602615359138912,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
d1_ret,48,train_quantile,0.35,0.6979728196699959,0.2538191801205252,-0.6340466288253365,25,0.6268248175182481,0.9713873500909338,0.5,-0.5842289571275108,"[-0.0986335762614031, -0.08836532351192727, -0.05593658811575704, -0.049979493972580426, -0.0432677449785635, -0.07193831966675435]"
