timeframe,observed_duration_hours,symbol,interval,open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_volume
H4,0.0,BTCUSDT,4h,2017-09-06T16:00:00.000000+0000,2017-09-06T16:00:00.000000+0000,4619.43,4619.43,4619.43,4619.43,0.0,0.0,0,0.0,0.0
H4,3.004122,BTCUSDT,4h,2018-01-04T00:00:00.000000+0000,2018-01-04T03:00:14.838000+0000,14919.51,15280.0,14649.99,15119.97,3062.535646,45796189.91854075,25901,2038.428731,30438934.40472739
H4,2.0,BTCUSDT,4h,2018-06-26T00:00:00.000000+0000,2018-06-26T01:59:59.999000+0000,6252.0,6266.47,6180.0,6227.99,2669.964853,16614385.6424282,18655,1395.63033,8686487.1011946
H4,0.373764,BTCUSDT,4h,2018-07-04T00:00:00.000000+0000,2018-07-04T00:22:25.551000+0000,6511.01,6524.6,6441.11,6481.69,1543.484402,10005623.35965307,5307,507.87448,3296849.94281213
H4,2.0,BTCUSDT,4h,2018-10-19T04:00:00.000000+0000,2018-10-19T05:59:59.999000+0000,6613.08,6638.11,6583.0,6588.01,935.84567,6193859.12938722,8245,365.301793,2417561.89646661
H4,2.0,BTCUSDT,4h,2018-11-14T00:00:00.000000+0000,2018-11-14T01:59:59.999000+0000,6458.98,6474.92,6451.0,6472.0,750.084552,4848052.93978959,11062,397.900559,2571921.73704616
H4,2.0,BTCUSDT,4h,2019-03-12T00:00:00.000000+0000,2019-03-12T01:59:59.999000+0000,3871.61,3876.0,3826.06,3834.69,5590.76175,21511630.56113145,26767,2797.320898,10761987.83784631
H4,3.0,BTCUSDT,4h,2019-05-15T00:00:00.000000+0000,2019-05-15T02:59:59.999000+0000,7945.26,8116.28,7883.38,7946.71,7684.296323,61451455.52932983,73627,3888.17702,31084717.13932521
H4,2.0,BTCUSDT,4h,2019-08-15T00:00:00.000000+0000,2019-08-15T01:59:59.999000+0000,10055.16,10234.08,10030.52,10095.05,4803.615287,48620338.7990265,44639,2042.471082,20688488.18515624
H4,2.0,BTCUSDT,4h,2019-11-13T00:00:00.000000+0000,2019-11-13T01:59:59.999000+0000,8821.91,8844.99,8760.58,8767.0,2686.101169,23608405.57984408,27685,1300.575474,11428842.13280346
H4,3.592302,BTCUSDT,4h,2020-02-19T08:00:00.000000+0000,2020-02-19T11:35:32.286000+0000,10059.08,10161.99,10011.06,10148.93,7160.087236,72387524.26708193,78408,3767.815536,38088057.35296733
H4,2.0,BTCUSDT,4h,2020-04-25T00:00:00.000000+0000,2020-04-25T01:59:59.999000+0000,7505.0,7512.0,7431.07,7480.78,2938.777916,21960535.09667009,33965,1322.916048,9886625.24599816
H4,2.0,BTCUSDT,4h,2020-06-28T00:00:00.000000+0000,2020-06-28T01:59:59.999000+0000,9012.0,9015.0,8948.06,8971.8,2746.153419,24652039.84140604,32908,1359.346257,12202681.03413274
H4,1.789034,BTCUSDT,4h,2020-12-21T12:00:00.000000+0000,2020-12-21T13:47:20.521000+0000,22646.7,22774.0,21815.0,22681.32,14924.656327,333635434.22845644,225242,6928.170425,154942802.90927187
H4,3.681882,BTCUSDT,4h,2021-02-11T00:00:00.000000+0000,2021-02-11T03:40:54.773000+0000,44807.58,45051.27,43994.02,44582.07,7762.676796,345054272.10398644,222965,3836.133923,170548214.0667791
H4,2.0,BTCUSDT,4h,2021-04-20T00:00:00.000000+0000,2021-04-20T01:59:59.999000+0000,55633.14,55792.15,54237.04,54764.12,9222.585057,505934326.24631137,251368,4222.394324,231708497.1495013
H4,0.016152,BTCUSDT,4h,2021-04-25T04:00:00.000000+0000,2021-04-25T04:00:58.146000+0000,49626.76,49705.04,49600.24,49683.94,5.887034,292226.01345715,224,4.229245,209956.01047409
H4,1.999722,BTCUSDT,4h,2021-08-13T00:00:00.000000+0000,2021-08-13T01:59:59.000000+0000,44400.06,44922.0,44217.39,44847.26,4783.844532,213301310.1198181,266447,2448.767924,109169945.93679877
H4,3.0,BTCUSDT,4h,2021-09-29T04:00:00.000000+0000,2021-09-29T06:59:59.999000+0000,42199.99,42476.26,42000.0,42450.25,3870.2589,163520851.6142394,95445,1997.93245,84418105.7843874
