block_size,n_boot,p_mean_gt0,p_sharpe_gt0,p_cagr_gt0,mean_diff_mean,median_diff_mean,ci05_diff_mean,ci95_diff_mean,mean_diff_sharpe,ci05_diff_sharpe,ci95_diff_sharpe,mean_diff_cagr,ci05_diff_cagr,ci95_diff_cagr
5,2000,0.445,0.6575,0.501,-4.349580272286521e-05,-3.3171727679952995e-05,-0.00040949496981908603,0.00030857662416499207,0.07559445869888569,-0.2069518271604013,0.341075986108156,-0.012153407698023021,-0.3052983258368655,0.23978011907381064
10,2000,0.436,0.6915,0.5065,-4.132992180056524e-05,-3.077423012751862e-05,-0.00042529803057787395,0.000321132848806912,0.07787193759076222,-0.2058109786030467,0.36547264022511705,-0.013199182929006611,-0.32735453964357103,0.24631896867853453
20,2000,0.407,0.6545,0.4695,-5.675216943813514e-05,-5.003858153795199e-05,-0.00042650451480694384,0.0002894178763888057,0.06563203275635363,-0.20759001161534862,0.33884042121257196,-0.025202193319684905,-0.32260817944509135,0.21980512560224372
