bucket,timeframe,feature_name,feature_key,param,family,tail,calibration_mode,threshold_param,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,mean_hold_bars,median_hold_bars,positive_fold_share,min_fold_cagr,thresholds_json,feature_key_str,param_str,formula,config_id
native_h4,H4,ret,"('ret', 168)",168,directional_persistence,upper,train_quantile,0.5,1.6331171800543698,0.9505777942283655,-0.4332088107690185,94,0.4932319391634981,6.424862806867966,34.5,3.0,0.6666666666666666,-0.5305489073618057,"[0.0019695180515317823, 0.01390796459618815, 0.029851556264964163, 0.032986145776737086, 0.03201417290682884, 0.0161039579092086]","('ret', 168)",168,close / close.shift(L) - 1,988
native_h4,H4,ret,"('ret', 168)",168,directional_persistence,upper,fixed_zero,None,1.632221969486569,0.9841974916815954,-0.43553174302890774,82,0.5341444866920152,6.815528922901199,42.829268292682926,4.5,0.6666666666666666,-0.502286695917247,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('ret', 168)",168,close / close.shift(L) - 1,984
native_h4,H4,trend_quality,"('trend_quality', 168)",168,trend_quality,upper,fixed_zero,None,1.632221969486569,0.9841974916815954,-0.43553174302890774,82,0.5341444866920152,6.815528922901199,42.829268292682926,4.5,0.6666666666666666,-0.502286695917247,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('trend_quality', 168)",168,"(close / close.shift(L) - 1) / (rolling_std(log_close_ret, L) * sqrt(L))",1008
xtf,H4,h4_vs_d1_ma,"('h4_vs_d1_ma', 40)",40,cross_timeframe_relationship,upper,train_quantile,0.5,1.6132977793491152,0.9209280286988857,-0.3490885480953966,56,0.4952091254752852,6.091324075491758,58.142857142857146,5.5,0.6666666666666666,-0.32543502939529223,"[-0.0056444313200187946, 0.003819941816143091, 0.012615711164849719, 0.017622434498262507, 0.017151132988449058, 0.004814567961914706]","('h4_vs_d1_ma', 40)",40,H4 close / last_completed_D1_MA(L) - 1,2178
xtf,H4,h4_vs_d1_ma,"('h4_vs_d1_ma', 40)",40,cross_timeframe_relationship,upper,fixed_zero,None,1.5860049819573985,0.9056420931896128,-0.3889604366837093,64,0.5116349809885932,5.923340471836019,52.5625,5.5,0.6666666666666666,-0.42696378277092495,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('h4_vs_d1_ma', 40)",40,H4 close / last_completed_D1_MA(L) - 1,2174
native_h4,H4,up_frac,"('up_frac', 48)",48,directional_persistence,lower,fixed_level,0.4,1.5859533231216218,0.2773912892572328,-0.12924950525632595,62,0.03893536121673004,1.0847050848419504,4.129032258064516,2.0,0.8333333333333334,0.0,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4]","('up_frac', 48)",48,"rolling_mean(close.diff() > 0, L)",1068
native_h4,H4,trend_quality,"('trend_quality', 168)",168,trend_quality,upper,train_quantile,0.5,1.5818037109597518,0.8967416425443804,-0.4312547036313301,87,0.4950570342205323,5.826762963039937,37.41379310344828,3.0,0.6666666666666666,-0.5437771080572626,"[0.011381637144380818, 0.08389971799482916, 0.18856599437852042, 0.19247748964696743, 0.18782488511934034, 0.09544731217139439]","('trend_quality', 168)",168,"(close / close.shift(L) - 1) / (rolling_std(log_close_ret, L) * sqrt(L))",1012
native_h4,H4,ret,"('ret', 168)",168,directional_persistence,upper,train_quantile,0.65,1.5758878673046315,0.7546162280539492,-0.28750490071065526,64,0.3473764258555133,4.403977831528649,35.6875,3.5,0.6666666666666666,-0.10013573291242961,"[0.07626029677033981, 0.10317314916675423, 0.12512510462260445, 0.13378271520185633, 0.1364332735524037, 0.11442421604498162]","('ret', 168)",168,close / close.shift(L) - 1,989
xtf,H4,h4_vs_d1_ma,"('h4_vs_d1_ma', 80)",80,cross_timeframe_relationship,upper,train_quantile,0.65,1.5702755756177054,0.7869077444479573,-0.2519225386675916,22,0.3747528517110266,4.707934064610974,112.0,7.0,0.6666666666666666,-0.0029859437563836133,"[0.037630602969366884, 0.06212697805881965, 0.09877036807325766, 0.14098323334999174, 0.15479103302951489, 0.11206521067704046]","('h4_vs_d1_ma', 80)",80,H4 close / last_completed_D1_MA(L) - 1,2191
native_d1,D1,ret,"('ret', 40)",40,directional_persistence,upper,fixed_zero,None,1.5567360768011949,0.9078491350997029,-0.4831064432096537,29,0.5246350364963503,5.94742889214517,19.82758620689655,4.0,0.6666666666666666,-0.3888530395484916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('ret', 40)",40,close / close.shift(L) - 1,225
native_d1,D1,trend_quality,"('trend_quality', 40)",40,trend_quality,upper,fixed_zero,None,1.5567360768011949,0.9078491350997029,-0.4831064432096537,29,0.5246350364963503,5.94742889214517,19.82758620689655,4.0,0.6666666666666666,-0.3888530395484916,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('trend_quality', 40)",40,"(close / close.shift(L) - 1) / (rolling_std(log_close_ret, L) * sqrt(L))",249
xtf,H4,ret,"('transport_ret', 40)",40,directional_persistence,upper,fixed_zero,None,1.556581470275499,0.9076817559429335,-0.4832023419014685,29,0.5245627376425855,5.945600102849569,118.93103448275862,24.0,0.6666666666666666,-0.38893087844976637,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('transport_ret', 40)",40,transport(last_completed_D1 close / close.shift(L) - 1) onto H4 by backward as-of close_time,1659
xtf,H4,trend_quality,"('transport_trend_quality', 40)",40,trend_quality,upper,fixed_zero,None,1.556581470275499,0.9076817559429335,-0.4832023419014685,29,0.5245627376425855,5.945600102849569,118.93103448275862,24.0,0.6666666666666666,-0.38893087844976637,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","('transport_trend_quality', 40)",40,"transport(last_completed_D1 (close / close.shift(L) - 1) / (rolling_std(log_close_ret, L) * sqrt(L))) onto H4 by backward as-of close_time",1683
native_d1,D1,range_loc,"('range_loc', 40)",40,location_within_range,upper,fixed_level,0.65,1.5446265528724998,0.8076088937255381,-0.456816474308572,26,0.4251824817518248,4.908665259324623,17.923076923076923,13.0,0.6666666666666666,-0.40565397611739795,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65]","('range_loc', 40)",40,(close - rolling_low(L)) / (rolling_high(L) - rolling_low(L)),264
