block_size,n_boot,p_mean_gt0,p_sharpe_gt0,p_cagr_gt0,mean_diff_mean,median_diff_mean,ci05_diff_mean,ci95_diff_mean,mean_diff_sharpe,ci05_diff_sharpe,ci95_diff_sharpe,mean_diff_cagr,ci05_diff_cagr,ci95_diff_cagr
5,2000,0.5775,0.572,0.576,6.312193456303192e-05,5.6681901403439136e-05,-0.000398087048457875,0.0005269078688693004,0.04620516276505383,-0.31819547799729947,0.41848077765092945,0.0462765723070282,-0.3026782622866185,0.405115472534137
10,2000,0.5965,0.585,0.596,7.4452906719559e-05,7.016425739877168e-05,-0.000376788478214382,0.0005491725347412722,0.053898196001784235,-0.3164568614144651,0.43098338743002595,0.05651722172162758,-0.2789840902542884,0.43171205363446336
20,2000,0.593,0.5715,0.5875,7.045037710666093e-05,7.136205212615555e-05,-0.0003808053307701537,0.0005402348431693705,0.04754086379157007,-0.31866471560861553,0.4196421477844644,0.05229187951482327,-0.2859870219587864,0.40340701106629967
