core,entry_filter,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,mean_hold_bars,median_hold_bars,positive_fold_share,min_fold_cagr
CORE_VCL_RET168,(none),1.8602497657060266,0.9782350614980577,-0.2313115550520709,115,0.3221292775665399,6.745268464697883,18.417391304347827,11.0,0.8333333333333334,-0.22070933026847228
CORE_RET40_RET168,(none),1.7839121183161273,1.0456462422134973,-0.3405760014233217,49,0.445171102661597,7.564546057576218,59.734693877551024,10.0,0.6666666666666666,-0.3377362276906479
CORE_RET40_RET168,H4_BODY6_U_06,1.650468233853149,0.7548198473030723,-0.2519225386675914,14,0.32547528517110264,4.405859837483872,152.85714285714286,100.5,0.8333333333333334,-0.06091636448841631
CORE_RET40_RET168,H4_CLOSE6_L_035,1.4768899129062438,0.6006936326129659,-0.3611497902590416,15,0.26539923954372624,3.1026502350362746,116.33333333333333,51.0,0.6666666666666666,-0.24833426156544136
CORE_RET40_RET168,H4_FLOW24_Z0,1.3302155200363146,0.5915713426510876,-0.39630656483033766,25,0.3581749049429658,3.0328909126687087,94.2,17.0,0.6666666666666666,-0.4253736347375682
CORE_ATR20_RET168,(none),1.303422637982644,0.4790643185737993,-0.2519225386675913,44,0.17916349809885931,2.236514299869626,26.772727272727273,7.0,1.0,0.02831058505712769
CORE_RET40_RET168,H4_ATR48_U_q65,1.2667936794202608,0.4842302812752808,-0.25909324074066664,13,0.22266159695817492,2.2705534393526245,112.61538461538461,94.0,0.6666666666666666,-0.1550640774936245
CORE_VCL_RET168,H4_FLOW24_Z0,1.264922536154622,0.4026557463558529,-0.22632780405500297,47,0.15224334600760456,1.760284637379582,21.29787234042553,13.0,1.0,0.009386112695565885
CORE_VCL_RET168,H4_BODY6_U_06,1.2440548637303253,0.2484590650411702,-0.15716396631345098,27,0.06494296577946768,0.9462063531966625,15.814814814814815,5.0,0.8333333333333334,-0.16734472387052124
CORE_ATR20_RET168,H4_ATR48_U_q65,1.2196108539220034,0.41602187988504236,-0.2519225386675914,19,0.14570342205323195,1.839967000276404,50.421052631578945,22.0,1.0,0.019671772729087156
CORE_ATR20_RET168,H4_CLOSE6_L_035,1.1846805055773888,0.32658031263042253,-0.22437023584750204,13,0.10448669201520913,1.3349879833211178,52.84615384615385,27.0,0.8333333333333334,-0.24615869725757566
CORE_VCL_RET168,H4_UPFR48_L_04,1.1693326148616785,0.10743795194090344,-0.051164521543068386,8,0.015665399239543725,0.3582776142025279,12.875,7.0,0.6666666666666666,-0.07660674397912781
CORE_ATR20_RET168,H4_UPFR48_L_04,1.039077895233855,0.10395667411084952,-0.06493808889918196,3,0.020836501901140683,0.3455055307117658,45.666666666666664,31.0,0.3333333333333333,-0.003633875991412072
CORE_ATR20_RET168,H4_FLOW24_Z0,0.9100567084229371,0.2603144211563093,-0.2519225386675915,21,0.11908745247148289,1.0021909369203224,37.285714285714285,13.0,0.8333333333333334,0.0
CORE_VCL_RET168,H4_ATR48_U_q65,0.9015592616867081,0.23892819243709473,-0.22806407791238237,28,0.0714828897338403,0.9019631289928942,16.785714285714285,7.0,1.0,0.008092433386671205
CORE_ATR20_RET168,H4_BODY6_U_06,0.8024970121170306,0.15119639297781506,-0.21386060664647966,12,0.07346007604562738,0.5257736661562127,40.25,13.5,0.6666666666666666,-0.1928176459468237
CORE_VCL_RET168,H4_CLOSE6_L_035,0.6771819932797147,0.12656289787731478,-0.21523344123541432,26,0.06357414448669202,0.4298871293714146,16.076923076923077,10.5,0.6666666666666666,-0.07677195752177624
CORE_RET40_RET168,H4_UPFR48_L_04,0.5484174931837733,0.09472961035202787,-0.26207421504007655,8,0.10266159695817491,0.3120412803546875,84.375,31.0,0.5,-0.18920964592282252
