block_size,n_boot,p_mean_gt0,p_sharpe_gt0,p_cagr_gt0,mean_mean,ci05_mean,ci95_mean,mean_sharpe,ci05_sharpe,ci95_sharpe,mean_cagr,ci05_cagr,ci95_cagr
5,2000,1.0,1.0,0.9995,0.0021747792866729713,0.0011513163941034986,0.003145631637639601,1.7007969433280508,0.9398917101383234,2.4145597687991556,1.0340418887546026,0.37883051728894007,1.8045526355299486
10,2000,0.9995,0.9995,0.9995,0.0021911856764994164,0.0011516972466207886,0.0032563946971130055,1.707861987903417,0.946968143311398,2.4700743426983998,1.0514832855824843,0.3826454187251576,1.895678421182871
20,2000,0.9995,0.9995,0.999,0.002171622216610313,0.0010316252752555575,0.0033152828846258176,1.6921336763887296,0.8565841972172952,2.4979451868685243,1.0452208927395727,0.3244311187254822,1.9737874481561646
