regime,days,active_days,exposure_mean,ret_sharpe,ret_cagr,ret_mdd,active_mean_daily_ret,active_ci05,active_ci95,signal_label
bear,481,66,0.13721413721413722,-0.65439554195594,-0.061204107639463046,-0.38518001480533726,-0.0029134737536263833,-0.009670616731993951,0.003908264977683758,noise-only
bull,829,744,0.8974668275030157,2.826891326466381,1.1619179380210092,-0.2519225386675916,0.005145656569718615,0.003172942285188612,0.007160244148386726,effective
neutral,333,142,0.4264264264264264,-0.44340925026752714,-0.038317855893096886,-0.2635597101115441,-0.0007914762232134789,-0.004196761218933183,0.0028858589693686503,noise-only
