family,slow_pair,slow_mode,slow_thr,fast_lookback,fast_mode,fast_thr,sharpe_daily,cagr,max_drawdown,trade_count,exposure,net_return,mean_hold_bars,median_hold_bars,positive_fold_share,min_fold_cagr
vcl_gate_ret_state,"(6, 24)",fixed_level,1.0,168,train_quantile,0.5,1.9173780009904287,0.9459729403664026,-0.23581960703634852,108,0.29338403041825095,6.3723898765023925,17.86111111111111,6.0,0.8333333333333334,-0.010432287047686506
vcl_gate_ret_state,"(6, 24)",train_quantile,0.65,168,train_quantile,0.5,1.8846866330053793,0.9286742464334699,-0.23581960703634808,106,0.30159695817490495,6.177478384056886,18.70754716981132,6.0,0.8333333333333334,-0.028946260992294914
vcl_gate_ret_state,"(6, 24)",fixed_level,1.0,168,fixed_zero,,1.8717693370665847,0.941748903506809,-0.22806407791238248,107,0.3175665399239544,6.324474361693756,19.514018691588785,7.0,0.8333333333333334,-0.09679571696096267
vcl_gate_ret_state,"(5, 20)",train_quantile,0.65,168,fixed_zero,,1.8602497657060266,0.9782350614980577,-0.2313115550520709,115,0.3221292775665399,6.745268464697883,18.417391304347827,11.0,0.8333333333333334,-0.22070933026847228
vcl_gate_ret_state,"(5, 20)",fixed_level,1.0,168,fixed_zero,,1.8554329729327346,0.9690242404387142,-0.2302789188786779,113,0.3139163498098859,6.637559243780622,18.265486725663717,11.0,0.8333333333333334,-0.23598718049399592
vcl_gate_ret_state,"(5, 20)",train_quantile,0.65,168,train_quantile,0.5,1.8525985516417849,0.9389736503606436,-0.23037673926893454,120,0.29673003802281367,6.293106475747936,16.258333333333333,6.0,0.8333333333333334,-0.2517641927208315
vcl_gate_ret_state,"(5, 20)",fixed_level,1.0,168,train_quantile,0.5,1.8478636323631992,0.9299456335794993,-0.23037673926893443,118,0.28851711026615967,6.191685224806181,16.076271186440678,6.5,0.8333333333333334,-0.26643321808067977
vcl_gate_ret_state,"(4, 16)",train_quantile,0.65,168,train_quantile,0.65,1.8438500790891508,0.7103131923918771,-0.17672364935739737,89,0.19863117870722433,4.004797020589941,14.674157303370787,6.0,0.8333333333333334,-0.020169865274642818
vcl_gate_ret_state,"(6, 24)",fixed_level,1.0,202,fixed_zero,,1.8309603286067997,0.9217121017445262,-0.24275643216937715,94,0.3096577946768061,6.10001308774863,21.659574468085108,12.0,0.8333333333333334,-0.20492473743908046
vcl_gate_ret_state,"(6, 24)",train_quantile,0.65,168,fixed_zero,,1.8162745851949686,0.9070568638910963,-0.2342619925006476,105,0.32593155893536124,5.9387753510413805,20.409523809523808,7.0,0.8333333333333334,-0.1136939042643419
vcl_gate_ret_state,"(6, 24)",train_quantile,0.65,202,fixed_zero,,1.805223624491202,0.9083332313188559,-0.24992690228768022,91,0.3187832699619772,5.952719947825331,23.032967032967033,12.0,0.8333333333333334,-0.21979992233283574
vcl_gate_ret_state,"(6, 24)",fixed_level,1.0,202,train_quantile,0.5,1.7968232239586228,0.8554205993297843,-0.22414233325144273,95,0.28577946768060836,5.390147172572238,19.778947368421054,9.0,0.8333333333333334,-0.2039145467261554
vcl_gate_ret_state,"(4, 16)",train_quantile,0.8,168,fixed_zero,,1.7760388032404513,1.0149981863880302,-0.3052519016736418,107,0.43072243346007605,7.185255558455838,26.46728971962617,12.0,0.8333333333333334,-0.32879422677094894
vcl_gate_ret_state,"(6, 24)",train_quantile,0.65,202,train_quantile,0.5,1.769871523841582,0.8425032472659548,-0.23148906348702025,92,0.29490494296577946,5.2575805378368194,21.07608695652174,10.0,0.8333333333333334,-0.21880863143272045
vcl_gate_ret_state,"(4, 16)",fixed_level,1.0,168,train_quantile,0.65,1.764784911501074,0.6551863525258246,-0.17672364935739737,90,0.18403041825095057,3.536182125183763,13.444444444444445,6.5,0.8333333333333334,-0.018465734235967646
vcl_gate_ret_state,"(4, 16)",train_quantile,0.8,168,train_quantile,0.5,1.745485320402423,0.9544807803195221,-0.2643367320520389,122,0.39787072243346006,6.469532348373827,21.442622950819672,6.0,0.8333333333333334,-0.3792105100229388
vcl_gate_ret_state,"(6, 24)",train_quantile,0.8,168,train_quantile,0.5,1.7440222063529451,0.952349648510286,-0.2630479247318216,106,0.39787072243346006,6.44511947750183,24.67924528301887,6.0,0.8333333333333334,-0.3645976771711116
vcl_gate_ret_state,"(4, 16)",fixed_level,1.2,168,fixed_zero,,1.7384925910389577,0.9535224432071707,-0.2889521545362348,115,0.4050190114068441,6.4585476633708225,23.156521739130437,12.0,0.6666666666666666,-0.26264270050800087
vcl_gate_ret_state,"(4, 16)",train_quantile,0.65,168,fixed_zero,,1.7301676182108334,0.8474703945922528,-0.2810951424151985,122,0.31741444866920154,5.308337571426809,17.10655737704918,11.0,0.6666666666666666,-0.15528292517746445
vcl_gate_ret_state,"(6, 24)",fixed_level,1.2,168,train_quantile,0.5,1.7229425921063382,0.9164999382524222,-0.2590158607941946,106,0.38692015209125474,6.042385514297744,24.0,6.0,0.8333333333333334,-0.313174271258457
vcl_gate_ret_state,"(5, 20)",train_quantile,0.8,168,train_quantile,0.5,1.7178935460993203,0.9348962082505865,-0.3181390999048779,114,0.3986311787072243,6.247182986792718,22.99122807017544,6.0,0.8333333333333334,-0.46294266844108223
vcl_gate_ret_state,"(6, 24)",fixed_level,1.0,202,train_quantile,0.65,1.7117292115882994,0.692893251755579,-0.18307138755451402,75,0.20714828897338403,3.8533902105512343,18.16,10.0,0.8333333333333334,-0.08069776578121612
vcl_gate_ret_state,"(5, 20)",fixed_level,1.0,168,train_quantile,0.65,1.711339188715038,0.6688151788460504,-0.22782524790191483,88,0.19543726235741446,3.649186348754469,14.602272727272727,6.0,1.0,0.007346440249622832
vcl_gate_ret_state,"(5, 20)",train_quantile,0.8,168,fixed_zero,,1.7089935213825183,0.9592377465274877,-0.3206650003869964,105,0.4308745247148289,6.524217491938367,26.98095238095238,12.0,0.8333333333333334,-0.404031863979866
vcl_gate_ret_state,"(4, 16)",fixed_level,1.2,168,train_quantile,0.5,1.7088995409655876,0.8960762555176025,-0.2277061389666205,129,0.37277566539923956,5.819579251429859,19.0,6.0,0.8333333333333334,-0.3152527333508318
vcl_gate_ret_state,"(5, 20)",fixed_level,1.0,202,train_quantile,0.65,1.6970955269896035,0.7145765999155886,-0.22782524790191472,84,0.20897338403041826,4.042326324924085,16.357142857142858,7.5,0.8333333333333334,-0.11996327720814626
vcl_gate_ret_state,"(6, 24)",train_quantile,0.8,168,fixed_zero,,1.6951798809616538,0.9406199580376347,-0.29469242820914543,95,0.428745247148289,6.3117033860527725,29.673684210526314,8.0,0.8333333333333334,-0.3309009552607465
vcl_gate_ret_state,"(4, 16)",fixed_level,1.0,168,fixed_zero,,1.6947195958651713,0.8093714918353938,-0.27348610979523125,120,0.2973384030418251,4.925970677701545,16.291666666666668,12.0,0.6666666666666666,-0.13674112426780904
vcl_gate_ret_state,"(5, 20)",train_quantile,0.8,202,fixed_zero,,1.6810075515374696,0.9384237480668829,-0.30955147606639444,98,0.42403041825095056,6.2869017399796245,28.448979591836736,7.5,0.6666666666666666,-0.20466397718695872
vcl_gate_ret_state,"(4, 16)",train_quantile,0.65,168,train_quantile,0.5,1.6792944437330029,0.782318955870116,-0.2085864601006664,127,0.2914068441064639,4.664062909914848,15.086614173228346,6.0,0.6666666666666666,-0.26350155055989044
vcl_gate_ret_state,"(6, 24)",fixed_level,1.2,168,fixed_zero,,1.6717000991030473,0.9037084807402656,-0.29469242820914576,96,0.4177946768060837,5.902282176064382,28.614583333333332,8.0,0.8333333333333334,-0.2796815873699159
vcl_gate_ret_state,"(6, 24)",fixed_level,1.2,202,fixed_zero,,1.6603288618258567,0.8930258953610519,-0.29203158279075025,85,0.4126235741444867,5.7867111875990895,31.91764705882353,8.0,0.6666666666666666,-0.24348546755692513
vcl_gate_ret_state,"(5, 20)",fixed_level,1.0,202,train_quantile,0.5,1.6544767950824606,0.7867169463288637,-0.3330267862820179,108,0.28304182509505704,4.706105438795845,17.23148148148148,9.0,0.6666666666666666,-0.29079261834108183
vcl_gate_ret_state,"(4, 16)",fixed_level,1.2,202,train_quantile,0.65,1.6494324204352129,0.7465308386608449,-0.23474156810670466,92,0.2713307984790875,4.329599024738876,19.391304347826086,7.0,0.8333333333333334,-0.342519710648691
vcl_gate_ret_state,"(4, 16)",fixed_level,1.0,168,train_quantile,0.5,1.6449770887645176,0.748587060705141,-0.20986500854407775,122,0.27209125475285173,4.348449399776775,14.663934426229508,6.5,0.8333333333333334,-0.24429430023920973
vcl_gate_ret_state,"(5, 20)",fixed_level,1.2,168,fixed_zero,,1.6433143343320051,0.8844603134224889,-0.32066500038699597,103,0.41307984790874525,5.694980898515031,26.368932038834952,12.0,0.8333333333333334,-0.3817394666148288
vcl_gate_ret_state,"(6, 24)",fixed_level,1.0,202,train_quantile,0.35,1.6402128427626885,0.8288485699662738,-0.27439832053651736,105,0.37749049429657794,5.119454246858092,23.63809523809524,12.0,0.8333333333333334,-0.18626786667960138
