config,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
entry=0.5_exit=0.3,1.1578,49.38,54.81,214,43.0,10.92,-4.37,44.5,-0.1744000000000001,-10.659999999999997,3.490000000000002
entry=0.5_exit=0.4,1.1884,51.21,53.87,216,42.6,10.9,-4.22,44.1,-0.14380000000000015,-8.829999999999998,2.549999999999997
entry=0.55_exit=0.3,1.1712,49.75,54.93,206,43.7,10.87,-4.39,43.0,-0.16100000000000003,-10.29,3.6099999999999994
entry=0.55_exit=0.4,1.2055,51.85,53.99,206,43.7,10.87,-4.29,42.8,-0.12670000000000003,-8.189999999999998,2.6700000000000017
entry=0.65_exit=0.3,1.1596,47.26,64.89,181,44.8,10.77,-4.34,38.9,-0.1726000000000001,-12.780000000000001,13.57
entry=0.65_exit=0.4,1.1783,48.32,64.16,181,44.8,10.77,-4.28,38.8,-0.15390000000000015,-11.719999999999999,12.839999999999996
