config,lookback,min_accel,compression_thr,trail_min,decay_start,decay_end,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,blocked_accel_only,blocked_comp_only,blocked_both,avg_trend_age_exit,avg_eff_trail_exit,d_sharpe,d_cagr,d_mdd
ref_baseline,,,,,,,1.3098,52.7,41.01,197,40.6,36.4,43.5,0,0,0,130.8,3.0,0.0,0.0,0.0
ref_accel_only,12,0.0,,,,,1.3419,48.08,41.01,149,42.3,37.5,33.9,932,0,0,125.7,3.0,0.03210000000000002,-4.6200000000000045,0.0
ref_comp_only,,,0.7,,,,1.4321,58.44,38.42,182,43.4,37.9,41.9,0,139,0,135.2,3.0,0.12229999999999985,5.739999999999995,-2.5899999999999963
ref_decay_only,,,,1.5,60,180,1.4596,58.11,31.19,263,39.5,25.2,40.3,0,0,0,169.4,2.193,0.14979999999999993,5.409999999999997,-9.819999999999997
duo_accel_decay,12,0.0,,1.5,60,180,1.4501,49.75,37.41,177,45.8,27.5,29.6,1189,0,0,147.4,2.307,0.14029999999999987,-2.950000000000003,-3.6000000000000014
duo_comp_decay,,,0.7,1.5,60,180,1.5426,60.81,31.48,240,41.2,26.1,38.0,0,237,0,170.3,2.192,0.2327999999999999,8.11,-9.529999999999998
duo_accel_comp,12,0.0,0.7,,,,1.3584,48.35,29.69,140,44.3,38.7,32.9,640,93,299,127.6,3.0,0.04859999999999998,-4.350000000000001,-11.319999999999997
triple_A,12,0.0,0.6,1.5,60,180,1.3243,42.63,35.17,163,44.2,28.0,27.7,684,170,533,150.5,2.311,0.014499999999999957,-10.07,-5.839999999999996
triple_B,12,0.0,0.7,1.5,60,180,1.3289,43.14,34.66,166,45.8,27.7,28.0,786,132,431,149.8,2.315,0.019099999999999895,-9.560000000000002,-6.350000000000001
triple_C,12,0.0,0.7,2.0,60,180,1.3516,45.15,36.99,157,45.2,31.0,29.5,759,122,395,143.1,2.569,0.04179999999999984,-7.550000000000004,-4.019999999999996
triple_D,12,0.0,0.8,1.5,60,180,1.3865,46.23,36.9,170,47.1,27.6,28.5,873,91,329,149.1,2.311,0.07669999999999999,-6.470000000000006,-4.109999999999999
