config,slow_min,slow_max,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_bars_held,exposure_pct,mean_slow_period,std_slow_period,mean_slow_bull,mean_slow_bear,d_sharpe,d_cagr,d_mdd
baseline,120.0,120.0,1.3098,52.7,41.01,197,40.6,36.4,43.5,120.0,0.0,120.0,120.0,0.0,0.0,0.0
min=60/max=120,60.0,120.0,1.1095,41.52,38.76,211,37.0,34.5,44.2,88.6,19.7,87.8,89.7,-0.20030000000000014,-11.18,-2.25
min=60/max=144,60.0,144.0,1.2659,49.74,38.83,202,39.1,35.8,43.8,100.1,27.6,98.9,101.5,-0.04390000000000005,-2.960000000000001,-2.1799999999999997
min=60/max=168,60.0,168.0,1.1666,44.15,38.73,204,37.3,35.2,43.6,111.6,35.4,110.0,113.4,-0.1432,-8.550000000000004,-2.280000000000001
min=84/max=120,84.0,120.0,1.215,47.25,40.27,199,37.7,36.3,43.8,101.2,11.8,100.7,101.8,-0.0948,-5.450000000000003,-0.7399999999999949
min=84/max=144,84.0,144.0,1.3071,52.09,40.5,193,40.9,37.1,43.5,112.6,19.7,111.8,113.7,-0.0027000000000001467,-0.6099999999999994,-0.509999999999998
min=84/max=168,84.0,168.0,1.3087,51.9,37.63,189,40.7,37.6,43.1,124.1,27.6,122.9,125.5,-0.001100000000000101,-0.8000000000000043,-3.3799999999999955
