threshold,sharpe,cagr_pct,mdd_pct,trades,win_rate,avg_win,avg_loss,exposure_pct,d_sharpe,d_cagr,d_mdd
baseline,1.3322,60.04,51.32,219,41.6,10.88,-3.62,43.0,0.0,0.0,0.0
-0.05,1.2969,55.57,61.16,202,41.1,11.25,-3.66,40.7,-0.03530000000000011,-4.469999999999999,9.839999999999996
0.0,1.1179,43.84,58.62,197,39.1,11.19,-3.67,39.4,-0.21430000000000016,-16.199999999999996,7.299999999999997
0.05,1.0876,41.71,55.25,194,38.7,11.27,-3.71,37.8,-0.24460000000000015,-18.33,3.9299999999999997
0.1,1.0617,39.22,57.5,182,40.1,11.1,-3.91,35.6,-0.27049999999999996,-20.82,6.18
0.15,1.1064,40.35,58.9,168,39.3,11.42,-3.69,33.2,-0.2258,-19.689999999999998,7.579999999999998
